county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee_mail,absentee,provisional
Jefferson,E205,Sheriff,,Democratic,Steve HEALEY,104,11,90,3,,0
Jefferson,E205,Sheriff,,Democratic,Stephen YANCEY,165,23,140,2,,0
Jefferson,E205,Louisville Mayor,,,Jody HURT,8,0,8,0,,0
Jefferson,E205,Louisville Mayor,,,Douglas LATTIMORE,9,2,7,0,,0
Jefferson,E205,Louisville Mayor,,,Craig GREENBERG,260,35,218,7,,0
Jefferson,E205,Louisville Mayor,,,Tina BURNELL,27,1,26,0,,0
Jefferson,E205,Louisville Mayor,,,Bob DeVORE,14,2,12,0,,0
Jefferson,E205,Louisville Mayor,,,Lisa M. Holliday HARRIS,11,1,10,0,,0
Jefferson,E205,Louisville Mayor,,,Matthew Solomon BAILEY,2,0,2,0,,0
Jefferson,E205,Louisville Mayor,,,"S. ""The D"" DATTILO",1,0,1,0,,0
Jefferson,E205,Louisville Mayor,,,Shameka L. PARRISH-WRIGHT,108,13,93,2,,0
Jefferson,E205,Louisville Metro Council District 17,17,,Merideth BOOTH,119,13,101,5,,0
Jefferson,E205,Louisville Metro Council District 17,17,,Markus WINKLER,226,32,191,3,,0
Jefferson,E205,Louisville Metro Council District 17,17,,Nancy-Lynne WALTERS,91,5,85,1,,0
Jefferson,E206,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,1,0,1,0,,0
Jefferson,E206,U.S. Senate,,Republican,Anissa CATLETT,1,0,0,1,,0
Jefferson,E206,U.S. Senate,,Republican,Daniel CAMERON,24,3,21,0,,0
Jefferson,E206,U.S. Senate,,Republican,A. Nick SHELLEY,0,0,0,0,,0
Jefferson,E206,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",1,0,1,0,,0
Jefferson,E206,U.S. Senate,,Republican,George WASHINGTON,0,0,0,0,,0
Jefferson,E206,U.S. Senate,,Republican,Michael James FARIS,0,0,0,0,,0
Jefferson,E206,U.S. Senate,,Republican,Jimmy I. LEON,0,0,0,0,,0
Jefferson,E206,U.S. Senate,,Republican,James D. DUNCAN,0,0,0,0,,0
Jefferson,E206,U.S. Senate,,Republican,Other Donald WENZEL,0,0,0,0,,0
Jefferson,E206,U.S. Senate,,Republican,Andy BARR,46,2,44,0,,0
Jefferson,E206,U.S. House,3,Republican,David Joseph NICHTER,10,1,9,0,,0
Jefferson,E206,U.S. House,3,Republican,Maria Teresa RODRIGUEZ,32,3,28,1,,0
Jefferson,E206,U.S. House,3,Republican,Daniel COBBLE,13,0,10,3,,0
Jefferson,E206,U.S. House,3,Republican,Donald PAY,12,0,12,0,,0
Jefferson,E206,U.S. Senate,,Democratic,Joshua BLANTON SR.,2,0,2,0,,0
Jefferson,E206,U.S. Senate,,Democratic,Vincent Anthony THOMPSON,0,0,0,0,,0
Jefferson,E206,U.S. Senate,,Democratic,Amy McGRATH,50,5,44,1,,0
Jefferson,E206,U.S. Senate,,Democratic,Pamela STEVENSON,9,3,6,0,,0
Jefferson,E206,U.S. Senate,,Democratic,Logan FORSYTHE,6,1,5,0,,0
Jefferson,E206,U.S. Senate,,Democratic,Charles BOOKER,101,11,87,3,,0
Jefferson,E206,U.S. Senate,,Democratic,Dale Lewis ROMANS,6,2,4,0,,0
Jefferson,E206,State Senate,6,Democratic,Chaz STOESS,51,10,40,1,,0
Jefferson,E206,State Senate,6,Democratic,Christian FURMAN,106,11,93,2,,0
Jefferson,E206,County Attorney,,Democratic,Sarah MARTIN,108,15,92,1,,0
Jefferson,E206,County Attorney,,Democratic,Karl PRICE,46,6,38,2,,0
Jefferson,E206,County Clerk,,Democratic,"Rosalind ""Roz"" WELCH",62,10,51,1,,0
Jefferson,E206,County Clerk,,Democratic,David YATES,102,11,88,3,,0
Jefferson,E206,Sheriff,,Democratic,Richard BREEN,30,8,22,0,,0
Jefferson,E206,Sheriff,,Democratic,Steve HEALEY,53,6,46,1,,0
Jefferson,E206,Sheriff,,Democratic,Stephen YANCEY,72,7,63,2,,0
Jefferson,E206,Louisville Mayor,,,Jody HURT,3,0,3,0,,0
Jefferson,E206,Louisville Mayor,,,Douglas LATTIMORE,4,0,4,0,,0
Jefferson,E206,Louisville Mayor,,,Craig GREENBERG,137,16,117,4,,0
Jefferson,E206,Louisville Mayor,,,Tina BURNELL,25,1,24,0,,0
Jefferson,E206,Louisville Mayor,,,Bob DeVORE,11,0,11,0,,0
Jefferson,E206,Louisville Mayor,,,Lisa M. Holliday HARRIS,10,2,7,1,,0
Jefferson,E206,Louisville Mayor,,,Matthew Solomon BAILEY,1,0,1,0,,0
Jefferson,E206,Louisville Mayor,,,"S. ""The D"" DATTILO",4,1,3,0,,0
Jefferson,E206,Louisville Mayor,,,Shameka L. PARRISH-WRIGHT,60,8,50,2,,0
Jefferson,E206,Louisville Metro Council District 17,17,,Merideth BOOTH,49,6,42,1,,0
Jefferson,E206,Louisville Metro Council District 17,17,,Markus WINKLER,137,18,112,7,,0
Jefferson,E206,Louisville Metro Council District 17,17,,Nancy-Lynne WALTERS,54,3,51,0,,0
Jefferson,E207,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,0,0,0,0,,0
Jefferson,E207,U.S. Senate,,Republican,Anissa CATLETT,1,0,1,0,,0
Jefferson,E207,U.S. Senate,,Republican,Daniel CAMERON,44,5,39,0,,0
Jefferson,E207,U.S. Senate,,Republican,A. Nick SHELLEY,0,0,0,0,,0
Jefferson,E207,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",1,0,1,0,,0
Jefferson,E207,U.S. Senate,,Republican,George WASHINGTON,1,0,1,0,,0
Jefferson,E207,U.S. Senate,,Republican,Michael James FARIS,1,0,1,0,,0
Jefferson,E207,U.S. Senate,,Republican,Jimmy I. LEON,0,0,0,0,,0
Jefferson,E207,U.S. Senate,,Republican,James D. DUNCAN,1,0,1,0,,0
Jefferson,E207,U.S. Senate,,Republican,Other Donald WENZEL,0,0,0,0,,0
Jefferson,E207,U.S. Senate,,Republican,Andy BARR,74,5,67,2,,0
Jefferson,E207,U.S. House,3,Republican,David Joseph NICHTER,13,0,12,1,,0
Jefferson,E207,U.S. House,3,Republican,Maria Teresa RODRIGUEZ,60,8,51,1,,0
Jefferson,E207,U.S. House,3,Republican,Daniel COBBLE,11,1,10,0,,0
Jefferson,E207,U.S. House,3,Republican,Donald PAY,9,0,9,0,,0
Jefferson,E207,U.S. Senate,,Democratic,Joshua BLANTON SR.,0,0,0,0,,0
Jefferson,E207,U.S. Senate,,Democratic,Vincent Anthony THOMPSON,0,0,0,0,,0
Jefferson,E207,U.S. Senate,,Democratic,Amy McGRATH,78,17,59,2,,0
Jefferson,E207,U.S. Senate,,Democratic,Pamela STEVENSON,8,3,4,1,,0
Jefferson,E207,U.S. Senate,,Democratic,Logan FORSYTHE,7,3,4,0,,0
Jefferson,E207,U.S. Senate,,Democratic,Charles BOOKER,69,13,55,1,,0
Jefferson,E207,U.S. Senate,,Democratic,Dale Lewis ROMANS,15,4,11,0,,0
Jefferson,E207,State Senate,6,Democratic,Chaz STOESS,28,5,23,0,,0
Jefferson,E207,State Senate,6,Democratic,Christian FURMAN,136,30,102,4,,0
Jefferson,E207,County Attorney,,Democratic,Sarah MARTIN,148,31,113,4,,0
Jefferson,E207,County Attorney,,Democratic,Karl PRICE,23,7,16,0,,0
Jefferson,E207,County Clerk,,Democratic,"Rosalind ""Roz"" WELCH",42,11,29,2,,0
Jefferson,E207,County Clerk,,Democratic,David YATES,133,28,103,2,,0
Jefferson,E207,Sheriff,,Democratic,Richard BREEN,60,19,39,2,,0
Jefferson,E207,Sheriff,,Democratic,Steve HEALEY,53,7,46,0,,0
Jefferson,E207,Sheriff,,Democratic,Stephen YANCEY,53,12,39,2,,0
Jefferson,E207,Louisville Mayor,,,Jody HURT,3,2,1,0,,0
Jefferson,E207,Louisville Mayor,,,Douglas LATTIMORE,1,0,1,0,,0
Jefferson,E207,Louisville Mayor,,,Craig GREENBERG,181,39,139,3,,0
Jefferson,E207,Louisville Mayor,,,Tina BURNELL,37,3,33,1,,0
Jefferson,E207,Louisville Mayor,,,Bob DeVORE,24,1,23,0,,0
Jefferson,E207,Louisville Mayor,,,Lisa M. Holliday HARRIS,8,0,8,0,,0
Jefferson,E207,Louisville Mayor,,,Matthew Solomon BAILEY,3,0,3,0,,0
Jefferson,E207,Louisville Mayor,,,"S. ""The D"" DATTILO",3,0,3,0,,0
Jefferson,E207,Louisville Mayor,,,Shameka L. PARRISH-WRIGHT,38,7,29,2,,0
Jefferson,E207,Louisville Metro Council District 17,17,,Merideth BOOTH,35,5,29,1,,0
Jefferson,E207,Louisville Metro Council District 17,17,,Markus WINKLER,199,36,161,2,,0
Jefferson,E207,Louisville Metro Council District 17,17,,Nancy-Lynne WALTERS,62,8,52,2,,0
Jefferson,F106,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,1,0,1,0,,0
Jefferson,F106,U.S. Senate,,Republican,Anissa CATLETT,2,0,2,0,,0
Jefferson,F106,U.S. Senate,,Republican,Daniel CAMERON,52,2,50,0,,0
Jefferson,F106,U.S. Senate,,Republican,A. Nick SHELLEY,0,0,0,0,,0
Jefferson,F106,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",4,0,3,1,,0
Jefferson,F106,U.S. Senate,,Republican,George WASHINGTON,3,0,3,0,,0
Jefferson,F106,U.S. Senate,,Republican,Michael James FARIS,2,0,2,0,,0
Jefferson,F106,U.S. Senate,,Republican,Jimmy I. LEON,1,0,1,0,,0
Jefferson,F106,U.S. Senate,,Republican,James D. DUNCAN,4,0,4,0,,0
Jefferson,F106,U.S. Senate,,Republican,Other Donald WENZEL,1,0,1,0,,0
Jefferson,F106,U.S. Senate,,Republican,Andy BARR,63,4,58,1,,0
Jefferson,F106,U.S. House,3,Republican,David Joseph NICHTER,21,0,21,0,,0
Jefferson,F106,U.S. House,3,Republican,Maria Teresa RODRIGUEZ,45,1,43,1,,0
Jefferson,F106,U.S. House,3,Republican,Daniel COBBLE,20,1,19,0,,0
Jefferson,F106,U.S. House,3,Republican,Donald PAY,21,1,20,0,,0
Jefferson,F106,State Senate,36,Republican,David J. FARLEY,22,3,18,1,,0
Jefferson,F106,State Senate,36,Republican,Julie Raque ADAMS,101,2,98,1,,0
Jefferson,F106,U.S. Senate,,Democratic,Joshua BLANTON SR.,1,0,1,0,,0
Jefferson,F106,U.S. Senate,,Democratic,Vincent Anthony THOMPSON,0,0,0,0,,0
Jefferson,F106,U.S. Senate,,Democratic,Amy McGRATH,82,13,66,3,,0
Jefferson,F106,U.S. Senate,,Democratic,Pamela STEVENSON,13,3,8,2,,0
Jefferson,F106,U.S. Senate,,Democratic,Logan FORSYTHE,3,1,2,0,,0
Jefferson,F106,U.S. Senate,,Democratic,Charles BOOKER,105,21,81,3,,0
Jefferson,F106,U.S. Senate,,Democratic,Dale Lewis ROMANS,10,1,9,0,,0
Jefferson,F106,State Senate,36,Democratic,Luke WHITEHEAD,70,9,57,4,,0
Jefferson,F106,State Senate,36,Democratic,Sarah Cole McINTOSH,126,26,97,3,,0
Jefferson,F106,State Representative,33,Democratic,Tarah Combs LeBLANC,66,14,50,2,,0
Jefferson,F106,State Representative,33,Democratic,Jennifer HARDIN,121,20,97,4,,0
Jefferson,F106,County Attorney,,Democratic,Sarah MARTIN,166,32,128,6,,0
Jefferson,F106,County Attorney,,Democratic,Karl PRICE,33,5,27,1,,0
Jefferson,F106,County Clerk,,Democratic,"Rosalind ""Roz"" WELCH",59,6,52,1,,0
Jefferson,F106,County Clerk,,Democratic,David YATES,147,31,110,6,,0
Jefferson,F106,Sheriff,,Democratic,Richard BREEN,60,7,51,2,,0
Jefferson,F106,Sheriff,,Democratic,Steve HEALEY,58,15,41,2,,0
Jefferson,F106,Sheriff,,Democratic,Stephen YANCEY,78,10,65,3,,0
Jefferson,F106,Louisville Mayor,,,Jody HURT,5,1,4,0,,0
Jefferson,F106,Louisville Mayor,,,Douglas LATTIMORE,10,2,8,0,,0
Jefferson,F106,Louisville Mayor,,,Craig GREENBERG,202,35,159,8,,0
Jefferson,F106,Louisville Mayor,,,Tina BURNELL,28,1,27,0,,0
Jefferson,F106,Louisville Mayor,,,Bob DeVORE,12,0,12,0,,0
Jefferson,F106,Louisville Mayor,,,Lisa M. Holliday HARRIS,12,2,10,0,,0
Jefferson,F106,Louisville Mayor,,,Matthew Solomon BAILEY,1,0,1,0,,0
Jefferson,F106,Louisville Mayor,,,"S. ""The D"" DATTILO",2,0,2,0,,0
Jefferson,F106,Louisville Mayor,,,Shameka L. PARRISH-WRIGHT,67,5,60,2,,0
Jefferson,F106,Louisville Metro Council District 17,17,,Merideth BOOTH,64,6,58,0,,0
Jefferson,F106,Louisville Metro Council District 17,17,,Markus WINKLER,210,31,171,8,,0
Jefferson,F106,Louisville Metro Council District 17,17,,Nancy-Lynne WALTERS,66,6,59,1,,0
Jefferson,F145,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,1,0,1,0,,0
Jefferson,F145,U.S. Senate,,Republican,Anissa CATLETT,6,1,5,0,,0
Jefferson,F145,U.S. Senate,,Republican,Daniel CAMERON,73,8,65,0,,0
Jefferson,F145,U.S. Senate,,Republican,A. Nick SHELLEY,1,0,1,0,,0
Jefferson,F145,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",5,0,4,1,,0
Jefferson,F145,U.S. Senate,,Republican,George WASHINGTON,1,0,1,0,,0
Jefferson,F145,U.S. Senate,,Republican,Michael James FARIS,0,0,0,0,,0
Jefferson,F145,U.S. Senate,,Republican,Jimmy I. LEON,1,0,1,0,,0
Jefferson,F145,U.S. Senate,,Republican,James D. DUNCAN,3,1,1,1,,0
Jefferson,F145,U.S. Senate,,Republican,Other Donald WENZEL,1,0,1,0,,0
Jefferson,F145,U.S. Senate,,Republican,Andy BARR,109,11,96,2,,0
Jefferson,F145,U.S. House,3,Republican,David Joseph NICHTER,36,3,33,0,,0
Jefferson,F145,U.S. House,3,Republican,Maria Teresa RODRIGUEZ,85,6,77,2,,0
Jefferson,F145,U.S. House,3,Republican,Daniel COBBLE,20,3,17,0,,0
Jefferson,F145,U.S. House,3,Republican,Donald PAY,34,8,25,1,,0
Jefferson,F145,State Senate,36,Republican,David J. FARLEY,37,5,32,0,,0
Jefferson,F145,State Senate,36,Republican,Julie Raque ADAMS,158,17,137,4,,0
Jefferson,F145,U.S. Senate,,Democratic,Joshua BLANTON SR.,1,0,1,0,,0
Jefferson,F145,U.S. Senate,,Democratic,Vincent Anthony THOMPSON,1,0,1,0,,0
Jefferson,F145,U.S. Senate,,Democratic,Amy McGRATH,109,15,93,1,,0
Jefferson,F145,U.S. Senate,,Democratic,Pamela STEVENSON,15,2,13,0,,0
Jefferson,F145,U.S. Senate,,Democratic,Logan FORSYTHE,10,2,8,0,,0
Jefferson,F145,U.S. Senate,,Democratic,Charles BOOKER,117,23,90,4,,0
Jefferson,F145,U.S. Senate,,Democratic,Dale Lewis ROMANS,12,0,12,0,,0
Jefferson,F145,State Senate,36,Democratic,Luke WHITEHEAD,94,13,76,5,,0
Jefferson,F145,State Senate,36,Democratic,Sarah Cole McINTOSH,147,26,121,0,,0
Jefferson,F145,State Representative,33,Democratic,Tarah Combs LeBLANC,61,8,53,0,,0
Jefferson,F145,State Representative,33,Democratic,Jennifer HARDIN,170,29,136,5,,0
Jefferson,F145,County Attorney,,Democratic,Sarah MARTIN,199,33,161,5,,0
Jefferson,F145,County Attorney,,Democratic,Karl PRICE,45,6,39,0,,0
Jefferson,F145,County Clerk,,Democratic,"Rosalind ""Roz"" WELCH",64,6,57,1,,0
Jefferson,F145,County Clerk,,Democratic,David YATES,196,36,156,4,,0
Jefferson,F145,Sheriff,,Democratic,Richard BREEN,81,15,66,0,,0
Jefferson,F145,Sheriff,,Democratic,Steve HEALEY,83,15,66,2,,0
Jefferson,F145,Sheriff,,Democratic,Stephen YANCEY,76,8,65,3,,0
Jefferson,F145,Louisville Mayor,,,Jody HURT,6,1,5,0,,0
Jefferson,F145,Louisville Mayor,,,Douglas LATTIMORE,5,1,4,0,,0
Jefferson,F145,Louisville Mayor,,,Craig GREENBERG,289,43,239,7,,0
Jefferson,F145,Louisville Mayor,,,Tina BURNELL,48,9,39,0,,0
Jefferson,F145,Louisville Mayor,,,Bob DeVORE,22,2,20,0,,0
Jefferson,F145,Louisville Mayor,,,Lisa M. Holliday HARRIS,16,0,16,0,,0
Jefferson,F145,Louisville Mayor,,,Matthew Solomon BAILEY,3,0,3,0,,0
Jefferson,F145,Louisville Mayor,,,"S. ""The D"" DATTILO",4,0,4,0,,0
Jefferson,F145,Louisville Mayor,,,Shameka L. PARRISH-WRIGHT,60,8,50,2,,0
Jefferson,F145,Louisville Metro Council District 17,17,,Merideth BOOTH,53,5,47,1,,0
Jefferson,F145,Louisville Metro Council District 17,17,,Markus WINKLER,312,50,254,8,,0
Jefferson,F145,Louisville Metro Council District 17,17,,Nancy-Lynne WALTERS,90,8,81,1,,0
Jefferson,F151,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,1,0,1,0,,0
Jefferson,F151,U.S. Senate,,Republican,Anissa CATLETT,4,0,4,0,,0
Jefferson,F151,U.S. Senate,,Republican,Daniel CAMERON,84,15,66,3,,0
Jefferson,F151,U.S. Senate,,Republican,A. Nick SHELLEY,0,0,0,0,,0
Jefferson,F151,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",1,0,1,0,,0
Jefferson,F151,U.S. Senate,,Republican,George WASHINGTON,2,0,2,0,,0
Jefferson,F151,U.S. Senate,,Republican,Michael James FARIS,1,0,1,0,,0
Jefferson,F151,U.S. Senate,,Republican,Jimmy I. LEON,0,0,0,0,,0
Jefferson,F151,U.S. Senate,,Republican,James D. DUNCAN,1,1,0,0,,0
Jefferson,F151,U.S. Senate,,Republican,Other Donald WENZEL,0,0,0,0,,0
Jefferson,F151,U.S. Senate,,Republican,Andy BARR,130,20,105,5,,0
Jefferson,F151,U.S. House,3,Republican,David Joseph NICHTER,36,9,26,1,,0
Jefferson,F151,U.S. House,3,Republican,Maria Teresa RODRIGUEZ,110,17,89,4,,0
Jefferson,F151,U.S. House,3,Republican,Daniel COBBLE,28,2,25,1,,0
Jefferson,F151,U.S. House,3,Republican,Donald PAY,21,7,14,0,,0
Jefferson,F151,State Senate,36,Republican,David J. FARLEY,35,5,27,3,,0
Jefferson,F151,State Senate,36,Republican,Julie Raque ADAMS,186,31,152,3,,0
Jefferson,F151,U.S. Senate,,Democratic,Joshua BLANTON SR.,4,0,4,0,,0
Jefferson,F151,U.S. Senate,,Democratic,Vincent Anthony THOMPSON,1,0,1,0,,0
Jefferson,F151,U.S. Senate,,Democratic,Amy McGRATH,109,31,77,1,,0
Jefferson,F151,U.S. Senate,,Democratic,Pamela STEVENSON,6,1,5,0,,0
Jefferson,F151,U.S. Senate,,Democratic,Logan FORSYTHE,3,1,2,0,,0
Jefferson,F151,U.S. Senate,,Democratic,Charles BOOKER,113,19,94,0,,0
Jefferson,F151,U.S. Senate,,Democratic,Dale Lewis ROMANS,21,7,14,0,,0
Jefferson,F151,State Senate,36,Democratic,Luke WHITEHEAD,87,21,66,0,,0
Jefferson,F151,State Senate,36,Democratic,Sarah Cole McINTOSH,154,36,117,1,,0
Jefferson,F151,State Representative,33,Democratic,Tarah Combs LeBLANC,58,13,45,0,,0
Jefferson,F151,State Representative,33,Democratic,Jennifer HARDIN,174,43,130,1,,0
Jefferson,F151,County Attorney,,Democratic,Sarah MARTIN,207,51,155,1,,0
Jefferson,F151,County Attorney,,Democratic,Karl PRICE,37,7,30,0,,0
Jefferson,F151,County Clerk,,Democratic,"Rosalind ""Roz"" WELCH",58,10,48,0,,0
Jefferson,F151,County Clerk,,Democratic,David YATES,201,49,151,1,,0
Jefferson,F151,Sheriff,,Democratic,Richard BREEN,99,29,70,0,,0
Jefferson,F151,Sheriff,,Democratic,Steve HEALEY,67,19,48,0,,0
Jefferson,F151,Sheriff,,Democratic,Stephen YANCEY,70,10,59,1,,0
Jefferson,F151,Louisville Mayor,,,Jody HURT,10,1,9,0,,0
Jefferson,F151,Louisville Mayor,,,Douglas LATTIMORE,7,1,6,0,,0
Jefferson,F151,Louisville Mayor,,,Craig GREENBERG,291,63,226,2,,0
Jefferson,F151,Louisville Mayor,,,Tina BURNELL,68,10,55,3,,0
Jefferson,F151,Louisville Mayor,,,Bob DeVORE,22,4,18,0,,0
Jefferson,F151,Louisville Mayor,,,Lisa M. Holliday HARRIS,11,4,7,0,,0
Jefferson,F151,Louisville Mayor,,,Matthew Solomon BAILEY,3,0,3,0,,0
Jefferson,F151,Louisville Mayor,,,"S. ""The D"" DATTILO",2,0,2,0,,0
Jefferson,F151,Louisville Mayor,,,Shameka L. PARRISH-WRIGHT,66,11,54,1,,0
Jefferson,F152,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,4,0,4,0,,0
Jefferson,F152,U.S. Senate,,Republican,Anissa CATLETT,2,1,1,0,,0
Jefferson,F152,U.S. Senate,,Republican,Daniel CAMERON,94,8,86,0,,0
Jefferson,F152,U.S. Senate,,Republican,A. Nick SHELLEY,0,0,0,0,,0
Jefferson,F152,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",2,1,0,1,,0
Jefferson,F152,U.S. Senate,,Republican,George WASHINGTON,4,1,3,0,,0
Jefferson,F152,U.S. Senate,,Republican,Michael James FARIS,1,0,1,0,,0
Jefferson,F152,U.S. Senate,,Republican,Jimmy I. LEON,0,0,0,0,,0
Jefferson,F152,U.S. Senate,,Republican,James D. DUNCAN,2,0,2,0,,0
Jefferson,F152,U.S. Senate,,Republican,Other Donald WENZEL,0,0,0,0,,0
Jefferson,F152,U.S. Senate,,Republican,Andy BARR,122,20,101,1,,0
Jefferson,F152,U.S. House,3,Republican,David Joseph NICHTER,27,6,20,1,,0
Jefferson,F152,U.S. House,3,Republican,Maria Teresa RODRIGUEZ,113,14,98,1,,0
Jefferson,F152,U.S. House,3,Republican,Daniel COBBLE,22,2,20,0,,0
Jefferson,F152,U.S. House,3,Republican,Donald PAY,29,1,28,0,,0
Jefferson,F152,State Senate,36,Republican,David J. FARLEY,31,3,27,1,,0
Jefferson,F152,State Senate,36,Republican,Julie Raque ADAMS,192,26,165,1,,0
Jefferson,F152,U.S. Senate,,Democratic,Joshua BLANTON SR.,4,0,4,0,,0
Jefferson,F152,U.S. Senate,,Democratic,Vincent Anthony THOMPSON,1,0,1,0,,0
Jefferson,F152,U.S. Senate,,Democratic,Amy McGRATH,85,17,62,6,,0
Jefferson,F152,U.S. Senate,,Democratic,Pamela STEVENSON,2,0,1,1,,0
Jefferson,F152,U.S. Senate,,Democratic,Logan FORSYTHE,4,0,4,0,,0
Jefferson,F152,U.S. Senate,,Democratic,Charles BOOKER,117,10,103,4,,0
Jefferson,F152,U.S. Senate,,Democratic,Dale Lewis ROMANS,15,4,10,1,,0
Jefferson,F152,State Senate,36,Democratic,Luke WHITEHEAD,92,8,80,4,,0
Jefferson,F152,State Senate,36,Democratic,Sarah Cole McINTOSH,120,22,92,6,,0
Jefferson,F152,State Representative,33,Democratic,Tarah Combs LeBLANC,81,7,68,6,,0
Jefferson,F152,State Representative,33,Democratic,Jennifer HARDIN,134,22,108,4,,0
Jefferson,F152,County Attorney,,Democratic,Sarah MARTIN,178,24,144,10,,0
Jefferson,F152,County Attorney,,Democratic,Karl PRICE,40,7,32,1,,0
Jefferson,F152,County Clerk,,Democratic,"Rosalind ""Roz"" WELCH",45,3,42,0,,0
Jefferson,F152,County Clerk,,Democratic,David YATES,177,28,137,12,,0
Jefferson,F152,Sheriff,,Democratic,Richard BREEN,73,11,56,6,,0
Jefferson,F152,Sheriff,,Democratic,Steve HEALEY,65,11,50,4,,0
Jefferson,F152,Sheriff,,Democratic,Stephen YANCEY,69,6,63,0,,0
Jefferson,F152,Louisville Mayor,,,Jody HURT,5,0,5,0,,0
Jefferson,F152,Louisville Mayor,,,Douglas LATTIMORE,3,0,3,0,,0
Jefferson,F152,Louisville Mayor,,,Craig GREENBERG,294,50,231,13,,0
Jefferson,F152,Louisville Mayor,,,Tina BURNELL,70,7,63,0,,0
Jefferson,F152,Louisville Mayor,,,Bob DeVORE,31,4,27,0,,0
Jefferson,F152,Louisville Mayor,,,Lisa M. Holliday HARRIS,8,3,5,0,,0
Jefferson,F152,Louisville Mayor,,,Matthew Solomon BAILEY,3,0,3,0,,0
Jefferson,F152,Louisville Mayor,,,"S. ""The D"" DATTILO",4,0,4,0,,0
Jefferson,F152,Louisville Mayor,,,Shameka L. PARRISH-WRIGHT,53,3,49,1,,0
Jefferson,F153,U.S. Senate,,Republican,Jonathan M. HOLLIDAY,2,0,2,0,,0
Jefferson,F153,U.S. Senate,,Republican,Anissa CATLETT,0,0,0,0,,0
Jefferson,F153,U.S. Senate,,Republican,Daniel CAMERON,18,2,16,0,,0
Jefferson,F153,U.S. Senate,,Republican,A. Nick SHELLEY,0,0,0,0,,0
Jefferson,F153,U.S. Senate,,Republican,"Valerie ""Dr Val"" FREDRICK",1,0,1,0,,0
Jefferson,F153,U.S. Senate,,Republican,George WASHINGTON,1,0,1,0,,0
Jefferson,F153,U.S. Senate,,Republican,Michael James FARIS,3,0,3,0,,0
Jefferson,F153,U.S. Senate,,Republican,Jimmy I. LEON,0,0,0,0,,0
Jefferson,F153,U.S. Senate,,Republican,James D. DUNCAN,0,0,0,0,,0
Jefferson,F153,U.S. Senate,,Republican,Other Donald WENZEL,0,0,0,0,,0
Jefferson,F153,U.S. Senate,,Republican,Andy BARR,20,2,18,0,,0
Jefferson,F153,U.S. House,3,Republican,David Joseph NICHTER,12,1,11,0,,0
Jefferson,F153,U.S. House,3,Republican,Maria Teresa RODRIGUEZ,15,1,14,0,,0
Jefferson,F153,U.S. House,3,Republican,Daniel COBBLE,8,0,8,0,,0
Jefferson,F153,U.S. House,3,Republican,Donald PAY,4,1,3,0,,0
Jefferson,F153,State Senate,36,Republican,David J. FARLEY,5,1,4,0,,0
Jefferson,F153,State Senate,36,Republican,Julie Raque ADAMS,42,2,40,0,,0
Jefferson,F153,U.S. Senate,,Democratic,Joshua BLANTON SR.,1,0,1,0,,0
Jefferson,F153,U.S. Senate,,Democratic,Vincent Anthony THOMPSON,0,0,0,0,,0
Jefferson,F153,U.S. Senate,,Democratic,Amy McGRATH,29,4,25,0,,0
Jefferson,F153,U.S. Senate,,Democratic,Pamela STEVENSON,5,0,3,2,,0
Jefferson,F153,U.S. Senate,,Democratic,Logan FORSYTHE,0,0,0,0,,0
Jefferson,F153,U.S. Senate,,Democratic,Charles BOOKER,67,9,57,1,,0
Jefferson,F153,U.S. Senate,,Democratic,Dale Lewis ROMANS,0,0,0,0,,0
Jefferson,F153,State Senate,36,Democratic,Luke WHITEHEAD,49,9,38,2,,0
Jefferson,F153,State Senate,36,Democratic,Sarah Cole McINTOSH,53,4,48,1,,0
Jefferson,F153,State Representative,33,Democratic,Tarah Combs LeBLANC,32,5,25,2,,0
Jefferson,F153,State Representative,33,Democratic,Jennifer HARDIN,67,6,60,1,,0
Jefferson,F153,County Attorney,,Democratic,Sarah MARTIN,73,5,68,0,,0
Jefferson,F153,County Attorney,,Democratic,Karl PRICE,28,8,17,3,,0
Jefferson,F153,County Clerk,,Democratic,"Rosalind ""Roz"" WELCH",37,5,30,2,,0
Jefferson,F153,County Clerk,,Democratic,David YATES,64,8,55,1,,0
Jefferson,F153,Sheriff,,Democratic,Richard BREEN,19,3,16,0,,0
Jefferson,F153,Sheriff,,Democratic,Steve HEALEY,34,2,31,1,,0
Jefferson,F153,Sheriff,,Democratic,Stephen YANCEY,46,8,36,2,,0
Jefferson,F153,Louisville Mayor,,,Jody HURT,3,0,3,0,,0
