county,precinct,office,district,party,candidate,votes,election_day
Clay,E102,Secretary of State,,,Carl NETT,6,6
Clay,E103,Secretary of State,,,Carl NETT,24,24
Clay,E104,Secretary of State,,,Carl NETT,2,2
Clay,F101,Secretary of State,,,Carl NETT,10,10
Clay,F102,Secretary of State,,,Carl NETT,12,12
Clay,F104,Secretary of State,,,Carl NETT,4,4
Clay,ABSENTEE MACHINE,Secretary of State,,,Carl NETT,5,5
Clay,ABSENTEE PAPER,Secretary of State,,,Carl NETT,0,0
Clay,A101,Attorney General,,,Daniel CAMERON,76,76
Clay,A106,Attorney General,,,Daniel CAMERON,114,114
Clay,A107,Attorney General,,,Daniel CAMERON,51,51
Clay,B101,Attorney General,,,Daniel CAMERON,73,73
Clay,B103,Attorney General,,,Daniel CAMERON,47,47
Clay,B104,Attorney General,,,Daniel CAMERON,138,138
Clay,C101,Attorney General,,,Daniel CAMERON,36,36
Clay,C102,Attorney General,,,Daniel CAMERON,37,37
Clay,C103,Attorney General,,,Daniel CAMERON,50,50
Clay,C104,Attorney General,,,Daniel CAMERON,119,119
Clay,D102,Attorney General,,,Daniel CAMERON,25,25
Clay,D103,Attorney General,,,Daniel CAMERON,65,65
Clay,D104,Attorney General,,,Daniel CAMERON,51,51
Clay,E101,Attorney General,,,Daniel CAMERON,38,38
Clay,E102,Attorney General,,,Daniel CAMERON,54,54
Clay,E103,Attorney General,,,Daniel CAMERON,126,126
Clay,E104,Attorney General,,,Daniel CAMERON,14,14
Clay,F101,Attorney General,,,Daniel CAMERON,90,90
Clay,F102,Attorney General,,,Daniel CAMERON,100,100
Clay,F104,Attorney General,,,Daniel CAMERON,79,79
Clay,ABSENTEE MACHINE,Attorney General,,,Daniel CAMERON,25,25
Clay,ABSENTEE PAPER,Attorney General,,,Daniel CAMERON,8,8
Clay,A101,Attorney General,,,Wil SCHRODER,51,51
Clay,A106,Attorney General,,,Wil SCHRODER,41,41
Clay,A107,Attorney General,,,Wil SCHRODER,12,12
Clay,B101,Attorney General,,,Wil SCHRODER,43,43
Clay,B103,Attorney General,,,Wil SCHRODER,27,27
Clay,B104,Attorney General,,,Wil SCHRODER,118,118
Clay,C101,Attorney General,,,Wil SCHRODER,30,30
Clay,C102,Attorney General,,,Wil SCHRODER,32,32
Clay,C103,Attorney General,,,Wil SCHRODER,30,30
Clay,C104,Attorney General,,,Wil SCHRODER,54,54
Clay,D102,Attorney General,,,Wil SCHRODER,16,16
Clay,D103,Attorney General,,,Wil SCHRODER,47,47
Clay,D104,Attorney General,,,Wil SCHRODER,32,32
Clay,E101,Attorney General,,,Wil SCHRODER,22,22
Clay,E102,Attorney General,,,Wil SCHRODER,34,34
Clay,E103,Attorney General,,,Wil SCHRODER,72,72
Clay,E104,Attorney General,,,Wil SCHRODER,8,8
Clay,F101,Attorney General,,,Wil SCHRODER,51,51
Clay,F102,Attorney General,,,Wil SCHRODER,47,47
Clay,F104,Attorney General,,,Wil SCHRODER,45,45
Clay,ABSENTEE MACHINE,Attorney General,,,Wil SCHRODER,26,26
Clay,ABSENTEE PAPER,Attorney General,,,Wil SCHRODER,5,5
Clay,A101,Commissioner of Agriculture,,,Bill POLYNIAK,38,38
Clay,A106,Commissioner of Agriculture,,,Bill POLYNIAK,56,56
Clay,A107,Commissioner of Agriculture,,,Bill POLYNIAK,19,19
Clay,B101,Commissioner of Agriculture,,,Bill POLYNIAK,33,33
Clay,B103,Commissioner of Agriculture,,,Bill POLYNIAK,20,20
Clay,B104,Commissioner of Agriculture,,,Bill POLYNIAK,65,65
Clay,C101,Commissioner of Agriculture,,,Bill POLYNIAK,16,16
Clay,C102,Commissioner of Agriculture,,,Bill POLYNIAK,16,16
Clay,C103,Commissioner of Agriculture,,,Bill POLYNIAK,18,18
Clay,C104,Commissioner of Agriculture,,,Bill POLYNIAK,46,46
Clay,D102,Commissioner of Agriculture,,,Bill POLYNIAK,8,8
Clay,D103,Commissioner of Agriculture,,,Bill POLYNIAK,40,40
Clay,D104,Commissioner of Agriculture,,,Bill POLYNIAK,17,17
Clay,E101,Commissioner of Agriculture,,,Bill POLYNIAK,17,17
Clay,E102,Commissioner of Agriculture,,,Bill POLYNIAK,16,16
Clay,E103,Commissioner of Agriculture,,,Bill POLYNIAK,51,51
Clay,E104,Commissioner of Agriculture,,,Bill POLYNIAK,10,10
Clay,F101,Commissioner of Agriculture,,,Bill POLYNIAK,32,32
Clay,F102,Commissioner of Agriculture,,,Bill POLYNIAK,34,34
Clay,F104,Commissioner of Agriculture,,,Bill POLYNIAK,26,26
Clay,ABSENTEE MACHINE,Commissioner of Agriculture,,,Bill POLYNIAK,11,11
Clay,ABSENTEE PAPER,Commissioner of Agriculture,,,Bill POLYNIAK,3,3
Clay,A101,Commissioner of Agriculture,,,Ryan F. QUARLES,80,80
Clay,A106,Commissioner of Agriculture,,,Ryan F. QUARLES,90,90
Clay,A107,Commissioner of Agriculture,,,Ryan F. QUARLES,41,41
Clay,B101,Commissioner of Agriculture,,,Ryan F. QUARLES,83,83
Clay,B103,Commissioner of Agriculture,,,Ryan F. QUARLES,50,50
Clay,B104,Commissioner of Agriculture,,,Ryan F. QUARLES,185,185
Clay,C101,Commissioner of Agriculture,,,Ryan F. QUARLES,52,52
Clay,C102,Commissioner of Agriculture,,,Ryan F. QUARLES,48,48
Clay,C103,Commissioner of Agriculture,,,Ryan F. QUARLES,59,59
Clay,C104,Commissioner of Agriculture,,,Ryan F. QUARLES,126,126
Clay,D102,Commissioner of Agriculture,,,Ryan F. QUARLES,28,28
Clay,D103,Commissioner of Agriculture,,,Ryan F. QUARLES,63,63
Clay,D104,Commissioner of Agriculture,,,Ryan F. QUARLES,59,59
Clay,E101,Commissioner of Agriculture,,,Ryan F. QUARLES,42,42
Clay,E102,Commissioner of Agriculture,,,Ryan F. QUARLES,64,64
Clay,E103,Commissioner of Agriculture,,,Ryan F. QUARLES,145,145
Clay,E104,Commissioner of Agriculture,,,Ryan F. QUARLES,11,11
Clay,F101,Commissioner of Agriculture,,,Ryan F. QUARLES,111,111
Clay,F102,Commissioner of Agriculture,,,Ryan F. QUARLES,110,110
Clay,F104,Commissioner of Agriculture,,,Ryan F. QUARLES,94,94
Clay,ABSENTEE MACHINE,Commissioner of Agriculture,,,Ryan F. QUARLES,38,38
Clay,ABSENTEE PAPER,Commissioner of Agriculture,,,Ryan F. QUARLES,12,12
Clay,A101,Governor and Lieutenant Governor,,,Rocky ADKINS / Stephanie HORNE,26,26
Clay,A106,Governor and Lieutenant Governor,,,Rocky ADKINS / Stephanie HORNE,7,7
Clay,A107,Governor and Lieutenant Governor,,,Rocky ADKINS / Stephanie HORNE,5,5
Clay,B101,Governor and Lieutenant Governor,,,Rocky ADKINS / Stephanie HORNE,11,11
Clay,B103,Governor and Lieutenant Governor,,,Rocky ADKINS / Stephanie HORNE,14,14
Clay,B104,Governor and Lieutenant Governor,,,Rocky ADKINS / Stephanie HORNE,11,11
Clay,C101,Governor and Lieutenant Governor,,,Rocky ADKINS / Stephanie HORNE,4,4
Clay,C102,Governor and Lieutenant Governor,,,Rocky ADKINS / Stephanie HORNE,3,3
Clay,C103,Governor and Lieutenant Governor,,,Rocky ADKINS / Stephanie HORNE,3,3
Clay,C104,Governor and Lieutenant Governor,,,Rocky ADKINS / Stephanie HORNE,6,6
Clay,D102,Governor and Lieutenant Governor,,,Rocky ADKINS / Stephanie HORNE,3,3
Clay,D103,Governor and Lieutenant Governor,,,Rocky ADKINS / Stephanie HORNE,3,3
Clay,D104,Governor and Lieutenant Governor,,,Rocky ADKINS / Stephanie HORNE,5,5
Clay,E101,Governor and Lieutenant Governor,,,Rocky ADKINS / Stephanie HORNE,1,1
Clay,E102,Governor and Lieutenant Governor,,,Rocky ADKINS / Stephanie HORNE,3,3
Clay,E103,Governor and Lieutenant Governor,,,Rocky ADKINS / Stephanie HORNE,9,9
Clay,E104,Governor and Lieutenant Governor,,,Rocky ADKINS / Stephanie HORNE,2,2
Clay,F101,Governor and Lieutenant Governor,,,Rocky ADKINS / Stephanie HORNE,7,7
Clay,F102,Governor and Lieutenant Governor,,,Rocky ADKINS / Stephanie HORNE,6,6
Clay,F104,Governor and Lieutenant Governor,,,Rocky ADKINS / Stephanie HORNE,6,6
Clay,ABSENTEE MACHINE,Governor and Lieutenant Governor,,,Rocky ADKINS / Stephanie HORNE,4,4
Clay,ABSENTEE PAPER,Governor and Lieutenant Governor,,,Rocky ADKINS / Stephanie HORNE,0,0
Clay,A101,Governor and Lieutenant Governor,,,Andy BESHEAR / Jacqueline COLEMAN,10,10
Clay,A106,Governor and Lieutenant Governor,,,Andy BESHEAR / Jacqueline COLEMAN,8,8
Clay,A107,Governor and Lieutenant Governor,,,Andy BESHEAR / Jacqueline COLEMAN,6,6
Clay,B101,Governor and Lieutenant Governor,,,Andy BESHEAR / Jacqueline COLEMAN,4,4
Clay,B103,Governor and Lieutenant Governor,,,Andy BESHEAR / Jacqueline COLEMAN,6,6
Clay,B104,Governor and Lieutenant Governor,,,Andy BESHEAR / Jacqueline COLEMAN,5,5
Clay,C101,Governor and Lieutenant Governor,,,Andy BESHEAR / Jacqueline COLEMAN,1,1
