county,precinct,office,district,party,candidate,votes,election
Leslie,D101,SHERIFF,,,Bill C. BAKER,20,20
Leslie,D102,SHERIFF,,,Bill C. BAKER,25,25
Leslie,D103,SHERIFF,,,Bill C. BAKER,8,8
Leslie,D104,SHERIFF,,,Bill C. BAKER,52,52
Leslie,D105,SHERIFF,,,Bill C. BAKER,0,0
Leslie,A101,SHERIFF,,,"John ""Little John"" MORGAN",5,5
Leslie,A102,SHERIFF,,,"John ""Little John"" MORGAN",17,17
Leslie,A103,SHERIFF,,,"John ""Little John"" MORGAN",2,2
Leslie,A104,SHERIFF,,,"John ""Little John"" MORGAN",9,9
Leslie,A105,SHERIFF,,,"John ""Little John"" MORGAN",1,1
Leslie,B101,SHERIFF,,,"John ""Little John"" MORGAN",28,28
Leslie,B102,SHERIFF,,,"John ""Little John"" MORGAN",6,6
Leslie,B103,SHERIFF,,,"John ""Little John"" MORGAN",11,11
Leslie,B104,SHERIFF,,,"John ""Little John"" MORGAN",8,8
Leslie,C101,SHERIFF,,,"John ""Little John"" MORGAN",17,17
Leslie,C102,SHERIFF,,,"John ""Little John"" MORGAN",4,4
Leslie,C103,SHERIFF,,,"John ""Little John"" MORGAN",6,6
Leslie,D101,SHERIFF,,,"John ""Little John"" MORGAN",26,26
Leslie,D102,SHERIFF,,,"John ""Little John"" MORGAN",12,12
Leslie,D103,SHERIFF,,,"John ""Little John"" MORGAN",4,4
Leslie,D104,SHERIFF,,,"John ""Little John"" MORGAN",8,8
Leslie,D105,SHERIFF,,,"John ""Little John"" MORGAN",5,5
Leslie,A101,SHERIFF,,,David BENTON,2,2
Leslie,A102,SHERIFF,,,David BENTON,4,4
Leslie,A103,SHERIFF,,,David BENTON,0,0
Leslie,A104,SHERIFF,,,David BENTON,2,2
Leslie,A105,SHERIFF,,,David BENTON,0,0
Leslie,B101,SHERIFF,,,David BENTON,4,4
Leslie,B102,SHERIFF,,,David BENTON,1,1
Leslie,B103,SHERIFF,,,David BENTON,3,3
Leslie,B104,SHERIFF,,,David BENTON,0,0
Leslie,C101,SHERIFF,,,David BENTON,2,2
Leslie,C102,SHERIFF,,,David BENTON,0,0
Leslie,C103,SHERIFF,,,David BENTON,1,1
Leslie,D101,SHERIFF,,,David BENTON,10,10
Leslie,D102,SHERIFF,,,David BENTON,4,4
Leslie,D103,SHERIFF,,,David BENTON,0,0
Leslie,D104,SHERIFF,,,David BENTON,3,3
Leslie,D105,SHERIFF,,,David BENTON,0,0
Leslie,A101,MAGISTRATE District 1,,,Russell D. BROCK,154,154
Leslie,A102,MAGISTRATE District 1,,,Russell D. BROCK,164,164
Leslie,A103,MAGISTRATE District 1,,,Russell D. BROCK,21,21
Leslie,A104,MAGISTRATE District 1,,,Russell D. BROCK,161,161
Leslie,A105,MAGISTRATE District 1,,,Russell D. BROCK,117,117
Leslie,A101,MAGISTRATE District 1,,,"Eugene ""Friday"" ROBERTS",14,14
Leslie,A102,MAGISTRATE District 1,,,"Eugene ""Friday"" ROBERTS",226,226
Leslie,A103,MAGISTRATE District 1,,,"Eugene ""Friday"" ROBERTS",11,11
Leslie,A104,MAGISTRATE District 1,,,"Eugene ""Friday"" ROBERTS",158,158
Leslie,A105,MAGISTRATE District 1,,,"Eugene ""Friday"" ROBERTS",23,23
Leslie,B101,MAGISTRATE District 2,,,Aaron WHITEHEAD,93,93
Leslie,B102,MAGISTRATE District 2,,,Aaron WHITEHEAD,23,23
Leslie,B103,MAGISTRATE District 2,,,Aaron WHITEHEAD,12,12
Leslie,B104,MAGISTRATE District 2,,,Aaron WHITEHEAD,6,6
Leslie,B101,MAGISTRATE District 2,,,Jonathan Dill BOWLING,19,19
Leslie,B102,MAGISTRATE District 2,,,Jonathan Dill BOWLING,115,115
Leslie,B103,MAGISTRATE District 2,,,Jonathan Dill BOWLING,6,6
Leslie,B104,MAGISTRATE District 2,,,Jonathan Dill BOWLING,4,4
Leslie,B101,MAGISTRATE District 2,,,Denver Craig SIZEMORE,58,58
Leslie,B102,MAGISTRATE District 2,,,Denver Craig SIZEMORE,5,5
Leslie,B103,MAGISTRATE District 2,,,Denver Craig SIZEMORE,15,15
Leslie,B104,MAGISTRATE District 2,,,Denver Craig SIZEMORE,68,68
Leslie,B101,MAGISTRATE District 2,,,Robert B. NAPIER,27,27
Leslie,B102,MAGISTRATE District 2,,,Robert B. NAPIER,14,14
Leslie,B103,MAGISTRATE District 2,,,Robert B. NAPIER,119,119
Leslie,B104,MAGISTRATE District 2,,,Robert B. NAPIER,43,43
Leslie,B101,MAGISTRATE District 2,,,Travis B. SLUSHER,132,132
Leslie,B102,MAGISTRATE District 2,,,Travis B. SLUSHER,12,12
Leslie,B103,MAGISTRATE District 2,,,Travis B. SLUSHER,15,15
Leslie,B104,MAGISTRATE District 2,,,Travis B. SLUSHER,11,11
Leslie,B101,MAGISTRATE District 2,,,Bearl M. MORGAN,143,143
Leslie,B102,MAGISTRATE District 2,,,Bearl M. MORGAN,14,14
Leslie,B103,MAGISTRATE District 2,,,Bearl M. MORGAN,15,15
Leslie,B104,MAGISTRATE District 2,,,Bearl M. MORGAN,22,22
Leslie,B101,MAGISTRATE District 2,,,Harvey MUNCY,12,12
Leslie,B102,MAGISTRATE District 2,,,Harvey MUNCY,35,35
Leslie,B103,MAGISTRATE District 2,,,Harvey MUNCY,17,17
Leslie,B104,MAGISTRATE District 2,,,Harvey MUNCY,6,6
Leslie,C101,MAGISTRATE District 3,,,Dusty BAKER,87,87
Leslie,C102,MAGISTRATE District 3,,,Dusty BAKER,112,112
Leslie,C103,MAGISTRATE District 3,,,Dusty BAKER,211,211
Leslie,C101,MAGISTRATE District 3,,,Bonnell BENTLEY,200,200
Leslie,C102,MAGISTRATE District 3,,,Bonnell BENTLEY,95,95
Leslie,C103,MAGISTRATE District 3,,,Bonnell BENTLEY,131,131
Leslie,C101,MAGISTRATE District 3,,,"Dwayne ""Cotton"" COUCH",123,123
Leslie,C102,MAGISTRATE District 3,,,"Dwayne ""Cotton"" COUCH",5,5
Leslie,C103,MAGISTRATE District 3,,,"Dwayne ""Cotton"" COUCH",31,31
Leslie,C101,MAGISTRATE District 3,,,Donnie WELLS,25,25
Leslie,C102,MAGISTRATE District 3,,,Donnie WELLS,16,16
Leslie,C103,MAGISTRATE District 3,,,Donnie WELLS,13,13
Leslie,C101,MAGISTRATE District 3,,,Danny JOHNSON,0,0
Leslie,C102,MAGISTRATE District 3,,,Danny JOHNSON,0,0
Leslie,C103,MAGISTRATE District 3,,,Danny JOHNSON,1,1
Leslie,C101,MAGISTRATE District 3,,,Doug TURNER,1,1
Leslie,C102,MAGISTRATE District 3,,,Doug TURNER,0,0
Leslie,C103,MAGISTRATE District 3,,,Doug TURNER,2,2
Leslie,C101,MAGISTRATE District 3,,,William WELLS,13,13
Leslie,C102,MAGISTRATE District 3,,,William WELLS,13,13
Leslie,C103,MAGISTRATE District 3,,,William WELLS,39,39
Leslie,C101,MAGISTRATE District 3,,,Stevie MCDANIEL,16,16
Leslie,C102,MAGISTRATE District 3,,,Stevie MCDANIEL,4,4
Leslie,C103,MAGISTRATE District 3,,,Stevie MCDANIEL,6,6
Leslie,D101,MAGISTRATE District 4,,,Brown SIZEMORE,149,149
Leslie,D102,MAGISTRATE District 4,,,Brown SIZEMORE,88,88
Leslie,D103,MAGISTRATE District 4,,,Brown SIZEMORE,58,58
Leslie,D104,MAGISTRATE District 4,,,Brown SIZEMORE,70,70
Leslie,D105,MAGISTRATE District 4,,,Brown SIZEMORE,34,34
Leslie,D101,MAGISTRATE District 4,,,Shane COUCH,9,9
Leslie,D102,MAGISTRATE District 4,,,Shane COUCH,4,4
Leslie,D103,MAGISTRATE District 4,,,Shane COUCH,3,3
Leslie,D104,MAGISTRATE District 4,,,Shane COUCH,6,6
Leslie,D105,MAGISTRATE District 4,,,Shane COUCH,2,2
Leslie,D101,MAGISTRATE District 4,,,Jack COLLINS,13,13
Leslie,D102,MAGISTRATE District 4,,,Jack COLLINS,18,18
Leslie,D103,MAGISTRATE District 4,,,Jack COLLINS,31,31
Leslie,D104,MAGISTRATE District 4,,,Jack COLLINS,49,49
Leslie,D105,MAGISTRATE District 4,,,Jack COLLINS,14,14
Leslie,D101,MAGISTRATE District 4,,,John NEWELL,108,108
Leslie,D102,MAGISTRATE District 4,,,John NEWELL,103,103
Leslie,D103,MAGISTRATE District 4,,,John NEWELL,48,48
Leslie,D104,MAGISTRATE District 4,,,John NEWELL,149,149
Leslie,D105,MAGISTRATE District 4,,,John NEWELL,23,23
Leslie,A101,CONSTABLE District 1,,,Boyd J. PENNINGTON,13,13
Leslie,A102,CONSTABLE District 1,,,Boyd J. PENNINGTON,64,64
Leslie,A103,CONSTABLE District 1,,,Boyd J. PENNINGTON,7,7
Leslie,A104,CONSTABLE District 1,,,Boyd J. PENNINGTON,90,90
Leslie,A105,CONSTABLE District 1,,,Boyd J. PENNINGTON,27,27
Leslie,A101,CONSTABLE District 1,,,Samuel CALDWELL,101,101
Leslie,A102,CONSTABLE District 1,,,Samuel CALDWELL,142,142
Leslie,A103,CONSTABLE District 1,,,Samuel CALDWELL,13,13
Leslie,A104,CONSTABLE District 1,,,Samuel CALDWELL,88,88
Leslie,A105,CONSTABLE District 1,,,Samuel CALDWELL,54,54
Leslie,A101,CONSTABLE District 1,,,Mark A. THORNE,12,12
Leslie,A102,CONSTABLE District 1,,,Mark A. THORNE,77,77
Leslie,A103,CONSTABLE District 1,,,Mark A. THORNE,2,2
Leslie,A104,CONSTABLE District 1,,,Mark A. THORNE,35,35
Leslie,A105,CONSTABLE District 1,,,Mark A. THORNE,8,8
Leslie,A101,CONSTABLE District 1,,,"Delbert ""Curly"" WHITEHEAD",34,34
Leslie,A102,CONSTABLE District 1,,,"Delbert ""Curly"" WHITEHEAD",64,64
Leslie,A103,CONSTABLE District 1,,,"Delbert ""Curly"" WHITEHEAD",5,5
Leslie,A104,CONSTABLE District 1,,,"Delbert ""Curly"" WHITEHEAD",67,67
Leslie,A105,CONSTABLE District 1,,,"Delbert ""Curly"" WHITEHEAD",30,30
Leslie,A101,CONSTABLE District 1,,,Effie CALDWELL,2,2
Leslie,A102,CONSTABLE District 1,,,Effie CALDWELL,11,11
Leslie,A103,CONSTABLE District 1,,,Effie CALDWELL,0,0
Leslie,A104,CONSTABLE District 1,,,Effie CALDWELL,12,12
Leslie,A105,CONSTABLE District 1,,,Effie CALDWELL,17,17
Leslie,B101,CONSTABLE District 2,,,Ballard BROCK JR.,234,234
Leslie,B102,CONSTABLE District 2,,,Ballard BROCK JR.,50,50
Leslie,B103,CONSTABLE District 2,,,Ballard BROCK JR.,84,84
Leslie,B104,CONSTABLE District 2,,,Ballard BROCK JR.,58,58
Leslie,B101,CONSTABLE District 2,,,Kendall COUCH,78,78
Leslie,B102,CONSTABLE District 2,,,Kendall COUCH,21,21
Leslie,B103,CONSTABLE District 2,,,Kendall COUCH,89,89
Leslie,B104,CONSTABLE District 2,,,Kendall COUCH,68,68
Leslie,B101,CONSTABLE District 2,,,Roy Dean COLLINS,9,9
Leslie,B102,CONSTABLE District 2,,,Roy Dean COLLINS,6,6
Leslie,B103,CONSTABLE District 2,,,Roy Dean COLLINS,11,11
Leslie,B104,CONSTABLE District 2,,,Roy Dean COLLINS,5,5
Leslie,B101,CONSTABLE District 2,,,Robert D. BAKER,151,151
Leslie,B102,CONSTABLE District 2,,,Robert D. BAKER,119,119
Leslie,B103,CONSTABLE District 2,,,Robert D. BAKER,25,25
Leslie,B104,CONSTABLE District 2,,,Robert D. BAKER,23,23
Leslie,C101,CONSTABLE District 3,,,"Jonathan ""Red"" LEWIS",74,74
Leslie,C102,CONSTABLE District 3,,,"Jonathan ""Red"" LEWIS",43,43
Leslie,C103,CONSTABLE District 3,,,"Jonathan ""Red"" LEWIS",64,64
Leslie,C101,CONSTABLE District 3,,,Christopher ASHER,185,185
Leslie,C102,CONSTABLE District 3,,,Christopher ASHER,107,107
Leslie,C103,CONSTABLE District 3,,,Christopher ASHER,184,184
Leslie,C101,CONSTABLE District 3,,,Tony LEWIS,99,99
Leslie,C102,CONSTABLE District 3,,,Tony LEWIS,21,21
Leslie,C103,CONSTABLE District 3,,,Tony LEWIS,50,50
Leslie,C101,CONSTABLE District 3,,,Danny Wayne COOTS,31,31
Leslie,C102,CONSTABLE District 3,,,Danny Wayne COOTS,8,8
Leslie,C103,CONSTABLE District 3,,,Danny Wayne COOTS,51,51
Leslie,C101,CONSTABLE District 3,,,Harlan Wayne TURNER,37,37
Leslie,C102,CONSTABLE District 3,,,Harlan Wayne TURNER,44,44
Leslie,C103,CONSTABLE District 3,,,Harlan Wayne TURNER,49,49
Leslie,D101,CONSTABLE District 4,,,Thurman LEWIS,37,37
Leslie,D102,CONSTABLE District 4,,,Thurman LEWIS,43,43
Leslie,D103,CONSTABLE District 4,,,Thurman LEWIS,37,37
Leslie,D104,CONSTABLE District 4,,,Thurman LEWIS,105,105
Leslie,D105,CONSTABLE District 4,,,Thurman LEWIS,5,5
Leslie,D101,CONSTABLE District 4,,,Michael FELTNER,101,101
Leslie,D102,CONSTABLE District 4,,,Michael FELTNER,81,81
Leslie,D103,CONSTABLE District 4,,,Michael FELTNER,42,42
Leslie,D104,CONSTABLE District 4,,,Michael FELTNER,68,68
Leslie,D105,CONSTABLE District 4,,,Michael FELTNER,21,21
Leslie,D101,CONSTABLE District 4,,,Jonathan HOSKINS,33,33
Leslie,D102,CONSTABLE District 4,,,Jonathan HOSKINS,32,32
Leslie,D103,CONSTABLE District 4,,,Jonathan HOSKINS,29,29
Leslie,D104,CONSTABLE District 4,,,Jonathan HOSKINS,22,22
Leslie,D105,CONSTABLE District 4,,,Jonathan HOSKINS,16,16
Leslie,D101,CONSTABLE District 4,,,Tommy Lane ROBERTS,56,56
Leslie,D102,CONSTABLE District 4,,,Tommy Lane ROBERTS,16,16
Leslie,D103,CONSTABLE District 4,,,Tommy Lane ROBERTS,3,3
Leslie,D104,CONSTABLE District 4,,,Tommy Lane ROBERTS,6,6
Leslie,D105,CONSTABLE District 4,,,Tommy Lane ROBERTS,16,16
Leslie,D101,CONSTABLE District 4,,,Bryan LEWIS,40,40
Leslie,D102,CONSTABLE District 4,,,Bryan LEWIS,31,31
Leslie,D103,CONSTABLE District 4,,,Bryan LEWIS,24,24
Leslie,D104,CONSTABLE District 4,,,Bryan LEWIS,58,58
Leslie,D105,CONSTABLE District 4,,,Bryan LEWIS,10,10
Leslie,A101,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Scott SYKES,1,1
Leslie,A102,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Scott SYKES,7,7
Leslie,A103,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Scott SYKES,0,0
Leslie,A104,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Scott SYKES,5,5
Leslie,A105,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Scott SYKES,0,0
Leslie,B101,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Scott SYKES,1,1
Leslie,B102,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Scott SYKES,6,6
Leslie,B103,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Scott SYKES,2,2
Leslie,B104,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Scott SYKES,3,3
Leslie,C101,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Scott SYKES,6,6
Leslie,C102,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Scott SYKES,2,2
Leslie,C103,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Scott SYKES,3,3
Leslie,D101,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Scott SYKES,3,3
Leslie,D102,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Scott SYKES,1,1
Leslie,D103,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Scott SYKES,2,2
Leslie,D104,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Scott SYKES,2,2
Leslie,D105,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Scott SYKES,0,0
Leslie,A101,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Kenneth S. STEPP,5,5
Leslie,A102,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Kenneth S. STEPP,1,1
Leslie,A103,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Kenneth S. STEPP,0,0
Leslie,A104,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Kenneth S. STEPP,8,8
Leslie,A105,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Kenneth S. STEPP,5,5
Leslie,B101,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Kenneth S. STEPP,10,10
Leslie,B102,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Kenneth S. STEPP,4,4
Leslie,B103,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Kenneth S. STEPP,2,2
Leslie,B104,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Kenneth S. STEPP,1,1
Leslie,C101,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Kenneth S. STEPP,6,6
Leslie,C102,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Kenneth S. STEPP,7,7
Leslie,C103,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Kenneth S. STEPP,10,10
Leslie,D101,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Kenneth S. STEPP,5,5
Leslie,D102,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Kenneth S. STEPP,4,4
Leslie,D103,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Kenneth S. STEPP,2,2
Leslie,D104,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Kenneth S. STEPP,3,3
Leslie,D105,"US Representative, 5th Congressional District", 5th Congressional District - DEMOCRATIC,,Kenneth S. STEPP,1,1
Leslie,A101,Justice of the Supreme Court, 3rd Supreme Court District,,Dan BALLOU,17,17
Leslie,A102,Justice of the Supreme Court, 3rd Supreme Court District,,Dan BALLOU,42,42
Leslie,A103,Justice of the Supreme Court, 3rd Supreme Court District,,Dan BALLOU,5,5
Leslie,A104,Justice of the Supreme Court, 3rd Supreme Court District,,Dan BALLOU,40,40
Leslie,A105,Justice of the Supreme Court, 3rd Supreme Court District,,Dan BALLOU,18,18
Leslie,B101,Justice of the Supreme Court, 3rd Supreme Court District,,Dan BALLOU,81,81
Leslie,B102,Justice of the Supreme Court, 3rd Supreme Court District,,Dan BALLOU,37,37
Leslie,B103,Justice of the Supreme Court, 3rd Supreme Court District,,Dan BALLOU,47,47
Leslie,B104,Justice of the Supreme Court, 3rd Supreme Court District,,Dan BALLOU,29,29
Leslie,C101,Justice of the Supreme Court, 3rd Supreme Court District,,Dan BALLOU,72,72
Leslie,C102,Justice of the Supreme Court, 3rd Supreme Court District,,Dan BALLOU,32,32
Leslie,C103,Justice of the Supreme Court, 3rd Supreme Court District,,Dan BALLOU,61,61
Leslie,D101,Justice of the Supreme Court, 3rd Supreme Court District,,Dan BALLOU,46,46
Leslie,D102,Justice of the Supreme Court, 3rd Supreme Court District,,Dan BALLOU,31,31
Leslie,D103,Justice of the Supreme Court, 3rd Supreme Court District,,Dan BALLOU,22,22
Leslie,D104,Justice of the Supreme Court, 3rd Supreme Court District,,Dan BALLOU,35,35
Leslie,D105,Justice of the Supreme Court, 3rd Supreme Court District,,Dan BALLOU,14,14
Leslie,A101,Justice of the Supreme Court, 3rd Supreme Court District,,Debra Hembree LAMBERT,107,107
Leslie,A102,Justice of the Supreme Court, 3rd Supreme Court District,,Debra Hembree LAMBERT,241,241
Leslie,A103,Justice of the Supreme Court, 3rd Supreme Court District,,Debra Hembree LAMBERT,21,21
Leslie,A104,Justice of the Supreme Court, 3rd Supreme Court District,,Debra Hembree LAMBERT,203,203
Leslie,A105,Justice of the Supreme Court, 3rd Supreme Court District,,Debra Hembree LAMBERT,88,88
Leslie,B101,Justice of the Supreme Court, 3rd Supreme Court District,,Debra Hembree LAMBERT,266,266
Leslie,B102,Justice of the Supreme Court, 3rd Supreme Court District,,Debra Hembree LAMBERT,121,121
Leslie,B103,Justice of the Supreme Court, 3rd Supreme Court District,,Debra Hembree LAMBERT,113,113
Leslie,B104,Justice of the Supreme Court, 3rd Supreme Court District,,Debra Hembree LAMBERT,85,85
Leslie,C101,Justice of the Supreme Court, 3rd Supreme Court District,,Debra Hembree LAMBERT,273,273
Leslie,C102,Justice of the Supreme Court, 3rd Supreme Court District,,Debra Hembree LAMBERT,131,131
Leslie,C103,Justice of the Supreme Court, 3rd Supreme Court District,,Debra Hembree LAMBERT,236,236
Leslie,D101,Justice of the Supreme Court, 3rd Supreme Court District,,Debra Hembree LAMBERT,169,169
Leslie,D102,Justice of the Supreme Court, 3rd Supreme Court District,,Debra Hembree LAMBERT,136,136
Leslie,D103,Justice of the Supreme Court, 3rd Supreme Court District,,Debra Hembree LAMBERT,79,79
Leslie,D104,Justice of the Supreme Court, 3rd Supreme Court District,,Debra Hembree LAMBERT,167,167
Leslie,D105,Justice of the Supreme Court, 3rd Supreme Court District,,Debra Hembree LAMBERT,36,36
Leslie,A101,Justice of the Supreme Court, 3rd Supreme Court District,,David TAPP,22,22
Leslie,A102,Justice of the Supreme Court, 3rd Supreme Court District,,David TAPP,35,35
Leslie,A103,Justice of the Supreme Court, 3rd Supreme Court District,,David TAPP,4,4
Leslie,A104,Justice of the Supreme Court, 3rd Supreme Court District,,David TAPP,35,35
Leslie,A105,Justice of the Supreme Court, 3rd Supreme Court District,,David TAPP,19,19
Leslie,B101,Justice of the Supreme Court, 3rd Supreme Court District,,David TAPP,51,51
Leslie,B102,Justice of the Supreme Court, 3rd Supreme Court District,,David TAPP,33,33
Leslie,B103,Justice of the Supreme Court, 3rd Supreme Court District,,David TAPP,23,23
Leslie,B104,Justice of the Supreme Court, 3rd Supreme Court District,,David TAPP,20,20
Leslie,C101,Justice of the Supreme Court, 3rd Supreme Court District,,David TAPP,50,50
Leslie,C102,Justice of the Supreme Court, 3rd Supreme Court District,,David TAPP,14,14
Leslie,C103,Justice of the Supreme Court, 3rd Supreme Court District,,David TAPP,43,43
Leslie,D101,Justice of the Supreme Court, 3rd Supreme Court District,,David TAPP,22,22
Leslie,D102,Justice of the Supreme Court, 3rd Supreme Court District,,David TAPP,19,19
Leslie,D103,Justice of the Supreme Court, 3rd Supreme Court District,,David TAPP,19,19
Leslie,D104,Justice of the Supreme Court, 3rd Supreme Court District,,David TAPP,28,28
Leslie,D105,Justice of the Supreme Court, 3rd Supreme Court District,,David TAPP,7,7
