county,precinct,office,district,party,candidate,votes,absentee,absentee_mail
Bell,Pineville Central B102,State House,87,DEM,Dustin Allen,51,,
Bell,Pineville West B103,State House,87,DEM,Dustin Allen,63,,
Bell,Arjay B104,State House,87,DEM,Dustin Allen,45,,
Bell,Dorton Branch B105,State House,87,DEM,Dustin Allen,40,,
Bell,Beverly B106,State House,87,DEM,Dustin Allen,4,,
Bell,Right Fork B107,State House,87,DEM,Dustin Allen,55,,
Bell,Straight Creek B108,State House,87,DEM,Dustin Allen,40,,
Bell,Binghamtown C101,State House,87,DEM,Dustin Allen,53,,
Bell,Dorchester C102,State House,87,DEM,Dustin Allen,45,,
Bell,Noetown C103,State House,87,DEM,Dustin Allen,52,,
Bell,Junction C104,State House,87,DEM,Dustin Allen,70,,
Bell,Edgewood C105,State House,87,DEM,Dustin Allen,76,,
Bell,City Hall D101,State House,87,DEM,Dustin Allen,42,,
Bell,East End D102,State House,87,DEM,Dustin Allen,71,,
Bell,Winchester D103,State House,87,DEM,Dustin Allen,54,,
Bell,Southside D104,State House,87,DEM,Dustin Allen,51,,
Bell,West Central D105,State House,87,DEM,Dustin Allen,49,,
Bell,Exeter D106,State House,87,DEM,Dustin Allen,68,,
Bell,Laurel A E101,State House,87,DEM,Dustin Allen,85,,
Bell,Laurel B E102,State House,87,DEM,Dustin Allen,31,,
Bell,Lone Jack E103,State House,87,DEM,Dustin Allen,113,,
Bell,Greasy Creek E104,State House,87,DEM,Dustin Allen,174,,
Bell,Clear Creek E105,State House,87,DEM,Dustin Allen,58,,
Bell,Sutty E106,State House,87,DEM,Dustin Allen,32,,
