id,county,precinct,office,district,party,candidate,votes,eslate,escan
109,Pendleton,D102,Commonwealth's Attorney,18th Judicial Circuit,,Douglas MILLER,203,,
123,Pendleton,D102,Circuit Clerk,,,Michael D. REDDEN,237,,
137,Pendleton,D102,PVA,,,John E. STEELE,233,,
151,Pendleton,D102,County Judge / Executive,,,David S. FIELDS,248,,
165,Pendleton,D102,County Judge / Executive,,,"Charles W. ""Craig"" PEOPLES",73,,
179,Pendleton,D102,County Attorney,,,Stacey S. SANNING,157,,
193,Pendleton,D102,County Attorney,,,Jeffery B. DEAN,158,,
207,Pendleton,D102,County Clerk,,,Rita M. SPENCER,247,,
221,Pendleton,D102,Sheriff,,,Edwin QUINN,154,,
235,Pendleton,D102,Sheriff,,,Billy Todd DENNIE,158,,
249,Pendleton,D102,Sheriff,,IND,Brian K. McCANN,9,,
263,Pendleton,D102,Jailer,,,Ken KELLS,237,,
277,Pendleton,D102,Coroner,,,Jonathon N. PEOPLES,251,,
291,Pendleton,D102,County Surveyor,,,Howard M. JOHNSTON,247,,
341,Pendleton,D102,Magistrate District 4,,,Steven D. FOSTER,123,,
346,Pendleton,D102,Magistrate District 4,,,Rick MINEER,191,,
351,Pendleton,D102,Constable District 4,,,Michael DOUGHERTY SR.,225,,
365,Pendleton,D102,District Judge,18th Judicial District,,Charles W. KUSTER JR.,200,,
387,Pendleton,D102,Falmouth Mayor,,,Ron STINSON,24,,
393,Pendleton,D102,Falmouth Mayor,,,Elonda HINSON,4,,
399,Pendleton,D102,Falmouth Mayor,,,Sebastian J. ERNST,9,,
405,Pendleton,D102,Falmouth City Council,,,Amy L. HITCH,23,,
411,Pendleton,D102,Falmouth City Council,,,Amy Beckett HURST,26,,
417,Pendleton,D102,Falmouth City Council,,,David F. KLABER,19,,
423,Pendleton,D102,Falmouth City Council,,,Philis WAIT,6,,
429,Pendleton,D102,Falmouth City Council,,,Travis E. REIS,15,,
435,Pendleton,D102,Falmouth City Council,,,Stanley W. LOVE,20,,
441,Pendleton,D102,Falmouth City Council,,,Shannon R. JOHNSON,17,,
447,Pendleton,D102,Falmouth City Council,,,Joyce CARSON,26,,
12,Pendleton,D103,U.S. House,4,REP,Thomas MASSIE,242,,
26,Pendleton,D103,U.S. House,4,DEM,Seth HALL,95,,
40,Pendleton,D103,U.S. House,4,IND,Mike MOFFETT,16,,
54,Pendleton,D103,State Senate,24,REP,Wil SCHRODER,246,,
68,Pendleton,D103,State Senate,24,DEM,Rachel ROBERTS,108,,
82,Pendleton,D103,State Representative,78,REP,Mark HART,231,,
96,Pendleton,D103,State Representative,78,DEM,Gregory E. J. COULSON,130,,
110,Pendleton,D103,Commonwealth's Attorney,18th Judicial Circuit,,Douglas MILLER,230,,
124,Pendleton,D103,Circuit Clerk,,,Michael D. REDDEN,259,,
138,Pendleton,D103,PVA,,,John E. STEELE,266,,
152,Pendleton,D103,County Judge / Executive,,,David S. FIELDS,246,,
166,Pendleton,D103,County Judge / Executive,,,"Charles W. ""Craig"" PEOPLES",117,,
180,Pendleton,D103,County Attorney,,,Stacey S. SANNING,174,,
194,Pendleton,D103,County Attorney,,,Jeffery B. DEAN,184,,
208,Pendleton,D103,County Clerk,,,Rita M. SPENCER,272,,
222,Pendleton,D103,Sheriff,,,Edwin QUINN,167,,
236,Pendleton,D103,Sheriff,,,Billy Todd DENNIE,185,,
250,Pendleton,D103,Sheriff,,IND,Brian K. McCANN,12,,
264,Pendleton,D103,Jailer,,,Ken KELLS,260,,
278,Pendleton,D103,Coroner,,,Jonathon N. PEOPLES,276,,
292,Pendleton,D103,County Surveyor,,,Howard M. JOHNSTON,291,,
342,Pendleton,D103,Magistrate District 4,,,Steven D. FOSTER,165,,
347,Pendleton,D103,Magistrate District 4,,,Rick MINEER,191,,
352,Pendleton,D103,Constable District 4,,,Michael DOUGHERTY SR.,281,,
366,Pendleton,D103,District Judge,18th Judicial District,,Charles W. KUSTER JR.,247,,
370,Pendleton,D103,School Board Division 2,,,"Jolieen ""Jodi"" BERTRAM",149,,
374,Pendleton,D103,School Board Division 2,,,Kevin BARNARD,151,,
388,Pendleton,D103,Falmouth Mayor,,,Ron STINSON,1,,
394,Pendleton,D103,Falmouth Mayor,,,Elonda HINSON,0,,
400,Pendleton,D103,Falmouth Mayor,,,Sebastian J. ERNST,0,,
406,Pendleton,D103,Falmouth City Council,,,Amy L. HITCH,0,,
412,Pendleton,D103,Falmouth City Council,,,Amy Beckett HURST,0,,
418,Pendleton,D103,Falmouth City Council,,,David F. KLABER,0,,
424,Pendleton,D103,Falmouth City Council,,,Philis WAIT,0,,
430,Pendleton,D103,Falmouth City Council,,,Travis E. REIS,0,,
436,Pendleton,D103,Falmouth City Council,,,Stanley W. LOVE,2,,
442,Pendleton,D103,Falmouth City Council,,,Shannon R. JOHNSON,0,,
448,Pendleton,D103,Falmouth City Council,,,Joyce CARSON,0,,
