county,precinct,office,district,party,candidate,votes,early_voting,election_day,absentee
Mccracken,A112,Commissioner of Agriculture,,REP,Richard HEATH,91,4,86,1
Mccracken,A112,Commissioner of Agriculture,,REP,Jonathan SHELL,30,1,29,0
Mccracken,A112,Commissioner of Agriculture,,REP,Total Votes Cast,121,5,115,1
Mccracken,A112,Commissioner of Agriculture,,REP,Under Votes,11,0,11,0
Mccracken,A112,Commissioner of Agriculture,,REP,Over Votes,0,0,0,0
Mccracken,A112,Governor,,DEM,Andy BESHEAR,32,3,28,1
Mccracken,A112,Governor,,DEM,Peppy MARTIN,4,0,4,0
Mccracken,A112,Governor,,DEM,"Geoffrey M. ""Geoff"" YOUNG",5,1,4,0
Mccracken,A112,Governor,,DEM,Total Votes Cast,41,4,36,1
Mccracken,A112,Governor,,DEM,Under Votes,0,0,0,0
Mccracken,A112,Governor,,DEM,Over Votes,0,0,0,0
Mccracken,A112,Commissioner of Agriculture,,DEM,Sierra J. ENLOW,25,3,22,0
Mccracken,A112,Commissioner of Agriculture,,DEM,Mikael MALONE,13,1,12,0
Mccracken,A112,Commissioner of Agriculture,,DEM,Total Votes Cast,38,4,34,0
Mccracken,A112,Commissioner of Agriculture,,DEM,Under Votes,3,0,2,1
Mccracken,A112,Commissioner of Agriculture,,DEM,Over Votes,0,0,0,0
Mccracken,A113,Governor,,REP,Daniel CAMERON,54,4,48,2
Mccracken,A113,Governor,,REP,Jacob CLARK,2,0,2,0
Mccracken,A113,Governor,,REP,David O. COOPER,0,0,0,0
Mccracken,A113,Governor,,REP,Kelly CRAFT,19,0,17,2
Mccracken,A113,Governor,,REP,Eric DETERS,5,0,5,0
Mccracken,A113,Governor,,REP,Bob DeVORE,0,0,0,0
Mccracken,A113,Governor,,REP,Mike HARMON,2,0,2,0
Mccracken,A113,Governor,,REP,Alan KECK,1,0,1,0
Mccracken,A113,Governor,,REP,Dennis Ray ORMEROD,0,0,0,0
Mccracken,A113,Governor,,REP,Ryan QUARLES,13,2,11,0
Mccracken,A113,Governor,,REP,Johnny Ray RICE,0,0,0,0
Mccracken,A113,Governor,,REP,Robbie C. SMITH,0,0,0,0
Mccracken,A113,Governor,,REP,Total Votes Cast,96,6,86,4
Mccracken,A113,Governor,,REP,Under Votes,0,0,0,0
Mccracken,A113,Governor,,REP,Over Votes,1,0,1,0
Mccracken,A113,Secretary of State,,REP,Michael ADAMS,67,3,60,4
Mccracken,A113,Secretary of State,,REP,Stephen L. KNIPPER,23,3,20,0
Mccracken,A113,Secretary of State,,REP,Allen MARICLE,1,0,1,0
Mccracken,A113,Secretary of State,,REP,Total Votes Cast,91,6,81,4
Mccracken,A113,Secretary of State,,REP,Under Votes,6,0,6,0
Mccracken,A113,Secretary of State,,REP,Over Votes,0,0,0,0
Mccracken,A113,Auditor of Public Accounts,,REP,Allison BALL,63,6,53,4
Mccracken,A113,Auditor of Public Accounts,,REP,Derek PETTEYS,16,0,16,0
Mccracken,A113,Auditor of Public Accounts,,REP,Total Votes Cast,79,6,69,4
Mccracken,A113,Auditor of Public Accounts,,REP,Under Votes,17,0,17,0
Mccracken,A113,Auditor of Public Accounts,,REP,Over Votes,1,0,1,0
Mccracken,A113,State Treasurer,,REP,Andrew COOPERRIDER,30,6,22,2
Mccracken,A113,State Treasurer,,REP,Mark H. METCALF,40,0,40,0
Mccracken,A113,State Treasurer,,REP,"O. C. ""OJ"" OLEKA",7,0,5,2
Mccracken,A113,State Treasurer,,REP,Total Votes Cast,77,6,67,4
Mccracken,A113,State Treasurer,,REP,Under Votes,20,0,20,0
Mccracken,A113,State Treasurer,,REP,Over Votes,0,0,0,0
Mccracken,A113,Commissioner of Agriculture,,REP,Richard HEATH,58,4,50,4
Mccracken,A113,Commissioner of Agriculture,,REP,Jonathan SHELL,23,2,21,0
Mccracken,A113,Commissioner of Agriculture,,REP,Total Votes Cast,81,6,71,4
Mccracken,A113,Commissioner of Agriculture,,REP,Under Votes,16,0,16,0
Mccracken,A113,Commissioner of Agriculture,,REP,Over Votes,0,0,0,0
Mccracken,A113,Governor,,DEM,Andy BESHEAR,40,0,40,0
Mccracken,A113,Governor,,DEM,Peppy MARTIN,3,0,3,0
Mccracken,A113,Governor,,DEM,"Geoffrey M. ""Geoff"" YOUNG",6,0,6,0
Mccracken,A113,Governor,,DEM,Total Votes Cast,49,0,49,0
Mccracken,A113,Governor,,DEM,Under Votes,2,0,2,0
Mccracken,A113,Governor,,DEM,Over Votes,0,0,0,0
