precinct,candidate,votes,county,office,district,party
N106,Shenita Rickman,36,Jefferson,State Senate,33,REP
N107,Shenita Rickman,26,Jefferson,State Senate,33,REP
N108,Shenita Rickman,45,Jefferson,State Senate,33,REP
N109,Shenita Rickman,26,Jefferson,State Senate,33,REP
N110,Shenita Rickman,28,Jefferson,State Senate,33,REP
N111,Shenita Rickman,15,Jefferson,State Senate,33,REP
N112,Shenita Rickman,18,Jefferson,State Senate,33,REP
N113,Shenita Rickman,16,Jefferson,State Senate,33,REP
N115,Shenita Rickman,110,Jefferson,State Senate,33,REP
N117,Shenita Rickman,88,Jefferson,State Senate,33,REP
N124,Shenita Rickman,2,Jefferson,State Senate,33,REP
N127,Shenita Rickman,14,Jefferson,State Senate,33,REP
N128,Shenita Rickman,47,Jefferson,State Senate,33,REP
N134,Shenita Rickman,138,Jefferson,State Senate,33,REP
N135,Shenita Rickman,48,Jefferson,State Senate,33,REP
N136,Shenita Rickman,38,Jefferson,State Senate,33,REP
N137,Shenita Rickman,4,Jefferson,State Senate,33,REP
N138,Shenita Rickman,2,Jefferson,State Senate,33,REP
N139,Shenita Rickman,3,Jefferson,State Senate,33,REP
N145,Shenita Rickman,13,Jefferson,State Senate,33,REP
N147,Shenita Rickman,28,Jefferson,State Senate,33,REP
N148,Shenita Rickman,12,Jefferson,State Senate,33,REP
N149,Shenita Rickman,2,Jefferson,State Senate,33,REP
N150,Shenita Rickman,0,Jefferson,State Senate,33,REP
O105,Shenita Rickman,143,Jefferson,State Senate,33,REP
O107,Shenita Rickman,169,Jefferson,State Senate,33,REP
O109,Shenita Rickman,198,Jefferson,State Senate,33,REP
O111,Shenita Rickman,160,Jefferson,State Senate,33,REP
O113,Shenita Rickman,123,Jefferson,State Senate,33,REP
O117 - SHI,Shenita Rickman,87,Jefferson,State Senate,33,REP
O119 - SHI,Shenita Rickman,101,Jefferson,State Senate,33,REP
O121 - SHI,Shenita Rickman,118,Jefferson,State Senate,33,REP
O123 - SHI,Shenita Rickman,107,Jefferson,State Senate,33,REP
O124 - SHI,Shenita Rickman,164,Jefferson,State Senate,33,REP
O126 - SHI,Shenita Rickman,145,Jefferson,State Senate,33,REP
WALK-IN 3RD H-J,Shenita Rickman,10,Jefferson,State Senate,33,REP
WALK-IN 3RD K-M,Shenita Rickman,83,Jefferson,State Senate,33,REP
WALK-IN 3RD NOQV,Shenita Rickman,97,Jefferson,State Senate,33,REP
MAIL-IN 3RD H-J,Shenita Rickman,6,Jefferson,State Senate,33,REP
MAIL-IN 3RD K-M,Shenita Rickman,56,Jefferson,State Senate,33,REP
MAIL-IN 3RD NOQV,Shenita Rickman,38,Jefferson,State Senate,33,REP
J105,Gerald Neal,210,Jefferson,State Senate,33,DEM
J107,Gerald Neal,322,Jefferson,State Senate,33,DEM
J111,Gerald Neal,340,Jefferson,State Senate,33,DEM
J154,Gerald Neal,0,Jefferson,State Senate,33,DEM
K118,Gerald Neal,449,Jefferson,State Senate,33,DEM
K119,Gerald Neal,344,Jefferson,State Senate,33,DEM
K123 - SHI,Gerald Neal,671,Jefferson,State Senate,33,DEM
K126,Gerald Neal,230,Jefferson,State Senate,33,DEM
K130 - SHI,Gerald Neal,363,Jefferson,State Senate,33,DEM
K131 - SHI,Gerald Neal,346,Jefferson,State Senate,33,DEM
K137,Gerald Neal,161,Jefferson,State Senate,33,DEM
K138,Gerald Neal,70,Jefferson,State Senate,33,DEM
K144,Gerald Neal,305,Jefferson,State Senate,33,DEM
K145,Gerald Neal,485,Jefferson,State Senate,33,DEM
K148,Gerald Neal,285,Jefferson,State Senate,33,DEM
L104,Gerald Neal,565,Jefferson,State Senate,33,DEM
L108,Gerald Neal,343,Jefferson,State Senate,33,DEM
L110,Gerald Neal,12,Jefferson,State Senate,33,DEM
L117,Gerald Neal,460,Jefferson,State Senate,33,DEM
L119,Gerald Neal,515,Jefferson,State Senate,33,DEM
L140,Gerald Neal,253,Jefferson,State Senate,33,DEM
L141,Gerald Neal,278,Jefferson,State Senate,33,DEM
L142,Gerald Neal,287,Jefferson,State Senate,33,DEM
L144,Gerald Neal,201,Jefferson,State Senate,33,DEM
L145,Gerald Neal,449,Jefferson,State Senate,33,DEM
L147,Gerald Neal,422,Jefferson,State Senate,33,DEM
L149,Gerald Neal,27,Jefferson,State Senate,33,DEM
L150,Gerald Neal,47,Jefferson,State Senate,33,DEM
L154,Gerald Neal,337,Jefferson,State Senate,33,DEM
L155,Gerald Neal,8,Jefferson,State Senate,33,DEM
L157,Gerald Neal,446,Jefferson,State Senate,33,DEM
L158,Gerald Neal,328,Jefferson,State Senate,33,DEM
L159,Gerald Neal,128,Jefferson,State Senate,33,DEM
L160,Gerald Neal,238,Jefferson,State Senate,33,DEM
L161,Gerald Neal,420,Jefferson,State Senate,33,DEM
L162,Gerald Neal,7,Jefferson,State Senate,33,DEM
L164,Gerald Neal,205,Jefferson,State Senate,33,DEM
M102,Gerald Neal,921,Jefferson,State Senate,33,DEM
M103,Gerald Neal,965,Jefferson,State Senate,33,DEM
M104,Gerald Neal,397,Jefferson,State Senate,33,DEM
M105,Gerald Neal,402,Jefferson,State Senate,33,DEM
M107,Gerald Neal,241,Jefferson,State Senate,33,DEM
M110,Gerald Neal,573,Jefferson,State Senate,33,DEM
M133,Gerald Neal,672,Jefferson,State Senate,33,DEM
M141,Gerald Neal,272,Jefferson,State Senate,33,DEM
M142,Gerald Neal,767,Jefferson,State Senate,33,DEM
M143,Gerald Neal,347,Jefferson,State Senate,33,DEM
M148,Gerald Neal,430,Jefferson,State Senate,33,DEM
M149,Gerald Neal,314,Jefferson,State Senate,33,DEM
M169,Gerald Neal,268,Jefferson,State Senate,33,DEM
M171,Gerald Neal,776,Jefferson,State Senate,33,DEM
M173 - SHI,Gerald Neal,533,Jefferson,State Senate,33,DEM
M175,Gerald Neal,0,Jefferson,State Senate,33,DEM
N101,Gerald Neal,554,Jefferson,State Senate,33,DEM
N102,Gerald Neal,342,Jefferson,State Senate,33,DEM
N103,Gerald Neal,664,Jefferson,State Senate,33,DEM
N104,Gerald Neal,695,Jefferson,State Senate,33,DEM
N105,Gerald Neal,520,Jefferson,State Senate,33,DEM
N106,Gerald Neal,620,Jefferson,State Senate,33,DEM
N107,Gerald Neal,624,Jefferson,State Senate,33,DEM
N108,Gerald Neal,674,Jefferson,State Senate,33,DEM
N109,Gerald Neal,460,Jefferson,State Senate,33,DEM
N110,Gerald Neal,406,Jefferson,State Senate,33,DEM
N111,Gerald Neal,285,Jefferson,State Senate,33,DEM
N112,Gerald Neal,353,Jefferson,State Senate,33,DEM
N113,Gerald Neal,270,Jefferson,State Senate,33,DEM
N115,Gerald Neal,312,Jefferson,State Senate,33,DEM
N117,Gerald Neal,425,Jefferson,State Senate,33,DEM
N124,Gerald Neal,1,Jefferson,State Senate,33,DEM
N127,Gerald Neal,40,Jefferson,State Senate,33,DEM
N128,Gerald Neal,170,Jefferson,State Senate,33,DEM
N134,Gerald Neal,583,Jefferson,State Senate,33,DEM
N135,Gerald Neal,81,Jefferson,State Senate,33,DEM
N136,Gerald Neal,249,Jefferson,State Senate,33,DEM
N137,Gerald Neal,131,Jefferson,State Senate,33,DEM
N138,Gerald Neal,34,Jefferson,State Senate,33,DEM
N139,Gerald Neal,72,Jefferson,State Senate,33,DEM
N145,Gerald Neal,445,Jefferson,State Senate,33,DEM
N147,Gerald Neal,80,Jefferson,State Senate,33,DEM
N148,Gerald Neal,324,Jefferson,State Senate,33,DEM
N149,Gerald Neal,101,Jefferson,State Senate,33,DEM
N150,Gerald Neal,12,Jefferson,State Senate,33,DEM
O105,Gerald Neal,656,Jefferson,State Senate,33,DEM
O107,Gerald Neal,750,Jefferson,State Senate,33,DEM
O109,Gerald Neal,612,Jefferson,State Senate,33,DEM
O111,Gerald Neal,457,Jefferson,State Senate,33,DEM
O113,Gerald Neal,374,Jefferson,State Senate,33,DEM
O117 - SHI,Gerald Neal,574,Jefferson,State Senate,33,DEM
O119 - SHI,Gerald Neal,562,Jefferson,State Senate,33,DEM
O121 - SHI,Gerald Neal,475,Jefferson,State Senate,33,DEM
O123 - SHI,Gerald Neal,307,Jefferson,State Senate,33,DEM
O124 - SHI,Gerald Neal,274,Jefferson,State Senate,33,DEM
O126 - SHI,Gerald Neal,406,Jefferson,State Senate,33,DEM
WALK-IN 3RD H-J,Gerald Neal,12,Jefferson,State Senate,33,DEM
WALK-IN 3RD K-M,Gerald Neal,411,Jefferson,State Senate,33,DEM
WALK-IN 3RD NOQV,Gerald Neal,331,Jefferson,State Senate,33,DEM
MAIL-IN 3RD H-J,Gerald Neal,10,Jefferson,State Senate,33,DEM
MAIL-IN 3RD K-M,Gerald Neal,246,Jefferson,State Senate,33,DEM
MAIL-IN 3RD NOQV,Gerald Neal,169,Jefferson,State Senate,33,DEM
J105,Write-In,0,Jefferson,State Senate,33,NA
J107,Write-In,0,Jefferson,State Senate,33,NA
J111,Write-In,1,Jefferson,State Senate,33,NA
J154,Write-In,0,Jefferson,State Senate,33,NA
K118,Write-In,2,Jefferson,State Senate,33,NA
K119,Write-In,0,Jefferson,State Senate,33,NA
K123 - SHI,Write-In,1,Jefferson,State Senate,33,NA
K126,Write-In,1,Jefferson,State Senate,33,NA
K130 - SHI,Write-In,0,Jefferson,State Senate,33,NA
K131 - SHI,Write-In,4,Jefferson,State Senate,33,NA
K137,Write-In,0,Jefferson,State Senate,33,NA
K138,Write-In,0,Jefferson,State Senate,33,NA
K144,Write-In,1,Jefferson,State Senate,33,NA
K145,Write-In,1,Jefferson,State Senate,33,NA
K148,Write-In,2,Jefferson,State Senate,33,NA
L104,Write-In,2,Jefferson,State Senate,33,NA
L108,Write-In,2,Jefferson,State Senate,33,NA
L110,Write-In,0,Jefferson,State Senate,33,NA
L117,Write-In,2,Jefferson,State Senate,33,NA
L119,Write-In,1,Jefferson,State Senate,33,NA
L140,Write-In,0,Jefferson,State Senate,33,NA
L141,Write-In,0,Jefferson,State Senate,33,NA
L142,Write-In,0,Jefferson,State Senate,33,NA
L144,Write-In,0,Jefferson,State Senate,33,NA
L145,Write-In,0,Jefferson,State Senate,33,NA
L147,Write-In,1,Jefferson,State Senate,33,NA
L149,Write-In,0,Jefferson,State Senate,33,NA
L150,Write-In,0,Jefferson,State Senate,33,NA
L154,Write-In,0,Jefferson,State Senate,33,NA
L155,Write-In,0,Jefferson,State Senate,33,NA
L157,Write-In,2,Jefferson,State Senate,33,NA
L158,Write-In,0,Jefferson,State Senate,33,NA
L159,Write-In,0,Jefferson,State Senate,33,NA
L160,Write-In,1,Jefferson,State Senate,33,NA
L161,Write-In,1,Jefferson,State Senate,33,NA
L162,Write-In,0,Jefferson,State Senate,33,NA
L164,Write-In,1,Jefferson,State Senate,33,NA
M102,Write-In,0,Jefferson,State Senate,33,NA
M103,Write-In,0,Jefferson,State Senate,33,NA
M104,Write-In,1,Jefferson,State Senate,33,NA
M105,Write-In,0,Jefferson,State Senate,33,NA
M107,Write-In,0,Jefferson,State Senate,33,NA
M110,Write-In,3,Jefferson,State Senate,33,NA
M133,Write-In,1,Jefferson,State Senate,33,NA
M141,Write-In,0,Jefferson,State Senate,33,NA
M142,Write-In,1,Jefferson,State Senate,33,NA
M143,Write-In,0,Jefferson,State Senate,33,NA
M148,Write-In,0,Jefferson,State Senate,33,NA
M149,Write-In,1,Jefferson,State Senate,33,NA
M169,Write-In,0,Jefferson,State Senate,33,NA
M171,Write-In,1,Jefferson,State Senate,33,NA
M173 - SHI,Write-In,1,Jefferson,State Senate,33,NA
M175,Write-In,0,Jefferson,State Senate,33,NA
N101,Write-In,3,Jefferson,State Senate,33,NA
N102,Write-In,0,Jefferson,State Senate,33,NA
N103,Write-In,0,Jefferson,State Senate,33,NA
N104,Write-In,1,Jefferson,State Senate,33,NA
N105,Write-In,2,Jefferson,State Senate,33,NA
N106,Write-In,2,Jefferson,State Senate,33,NA
N107,Write-In,2,Jefferson,State Senate,33,NA
N108,Write-In,1,Jefferson,State Senate,33,NA
N109,Write-In,0,Jefferson,State Senate,33,NA
N110,Write-In,1,Jefferson,State Senate,33,NA
N111,Write-In,1,Jefferson,State Senate,33,NA
N112,Write-In,0,Jefferson,State Senate,33,NA
N113,Write-In,0,Jefferson,State Senate,33,NA
N115,Write-In,0,Jefferson,State Senate,33,NA
N117,Write-In,0,Jefferson,State Senate,33,NA
N124,Write-In,0,Jefferson,State Senate,33,NA
N127,Write-In,0,Jefferson,State Senate,33,NA
N128,Write-In,0,Jefferson,State Senate,33,NA
N134,Write-In,1,Jefferson,State Senate,33,NA
N135,Write-In,0,Jefferson,State Senate,33,NA
N136,Write-In,1,Jefferson,State Senate,33,NA
N137,Write-In,0,Jefferson,State Senate,33,NA
N138,Write-In,0,Jefferson,State Senate,33,NA
N139,Write-In,0,Jefferson,State Senate,33,NA
N145,Write-In,1,Jefferson,State Senate,33,NA
N147,Write-In,0,Jefferson,State Senate,33,NA
N148,Write-In,0,Jefferson,State Senate,33,NA
N149,Write-In,0,Jefferson,State Senate,33,NA
N150,Write-In,0,Jefferson,State Senate,33,NA
O105,Write-In,2,Jefferson,State Senate,33,NA
O107,Write-In,1,Jefferson,State Senate,33,NA
O109,Write-In,0,Jefferson,State Senate,33,NA
O111,Write-In,0,Jefferson,State Senate,33,NA
O113,Write-In,1,Jefferson,State Senate,33,NA
O117 - SHI,Write-In,0,Jefferson,State Senate,33,NA
O119 - SHI,Write-In,1,Jefferson,State Senate,33,NA
O121 - SHI,Write-In,0,Jefferson,State Senate,33,NA
O123 - SHI,Write-In,0,Jefferson,State Senate,33,NA
O124 - SHI,Write-In,1,Jefferson,State Senate,33,NA
O126 - SHI,Write-In,2,Jefferson,State Senate,33,NA
WALK-IN 3RD H-J,Write-In,0,Jefferson,State Senate,33,NA
WALK-IN 3RD K-M,Write-In,0,Jefferson,State Senate,33,NA
WALK-IN 3RD NOQV,Write-In,0,Jefferson,State Senate,33,NA
MAIL-IN 3RD H-J,Write-In,0,Jefferson,State Senate,33,NA
MAIL-IN 3RD K-M,Write-In,0,Jefferson,State Senate,33,NA
MAIL-IN 3RD NOQV,Write-In,0,Jefferson,State Senate,33,NA
C101,Denise Harper Angel,571,Jefferson,State Senate,35,DEM
C102,Denise Harper Angel,379,Jefferson,State Senate,35,DEM
C103,Denise Harper Angel,480,Jefferson,State Senate,35,DEM
C104,Denise Harper Angel,368,Jefferson,State Senate,35,DEM
C105,Denise Harper Angel,331,Jefferson,State Senate,35,DEM
C106,Denise Harper Angel,842,Jefferson,State Senate,35,DEM
C108,Denise Harper Angel,658,Jefferson,State Senate,35,DEM
C109,Denise Harper Angel,276,Jefferson,State Senate,35,DEM
C110,Denise Harper Angel,460,Jefferson,State Senate,35,DEM
C111,Denise Harper Angel,840,Jefferson,State Senate,35,DEM
C113,Denise Harper Angel,235,Jefferson,State Senate,35,DEM
C115,Denise Harper Angel,782,Jefferson,State Senate,35,DEM
C125,Denise Harper Angel,431,Jefferson,State Senate,35,DEM
C126,Denise Harper Angel,562,Jefferson,State Senate,35,DEM
C133,Denise Harper Angel,683,Jefferson,State Senate,35,DEM
C134,Denise Harper Angel,456,Jefferson,State Senate,35,DEM
C135,Denise Harper Angel,434,Jefferson,State Senate,35,DEM
C141,Denise Harper Angel,340,Jefferson,State Senate,35,DEM
C142,Denise Harper Angel,419,Jefferson,State Senate,35,DEM
C143,Denise Harper Angel,85,Jefferson,State Senate,35,DEM
C145,Denise Harper Angel,118,Jefferson,State Senate,35,DEM
C147,Denise Harper Angel,1,Jefferson,State Senate,35,DEM
C151,Denise Harper Angel,16,Jefferson,State Senate,35,DEM
D113,Denise Harper Angel,431,Jefferson,State Senate,35,DEM
D145,Denise Harper Angel,224,Jefferson,State Senate,35,DEM
G103,Denise Harper Angel,414,Jefferson,State Senate,35,DEM
G104,Denise Harper Angel,349,Jefferson,State Senate,35,DEM
G106,Denise Harper Angel,370,Jefferson,State Senate,35,DEM
G107,Denise Harper Angel,462,Jefferson,State Senate,35,DEM
H123,Denise Harper Angel,155,Jefferson,State Senate,35,DEM
H126 - LNV,Denise Harper Angel,311,Jefferson,State Senate,35,DEM
H127,Denise Harper Angel,231,Jefferson,State Senate,35,DEM
H130,Denise Harper Angel,0,Jefferson,State Senate,35,DEM
H131,Denise Harper Angel,291,Jefferson,State Senate,35,DEM
H132,Denise Harper Angel,188,Jefferson,State Senate,35,DEM
H138,Denise Harper Angel,813,Jefferson,State Senate,35,DEM
H144,Denise Harper Angel,475,Jefferson,State Senate,35,DEM
H154,Denise Harper Angel,109,Jefferson,State Senate,35,DEM
H161,Denise Harper Angel,1,Jefferson,State Senate,35,DEM
I150,Denise Harper Angel,54,Jefferson,State Senate,35,DEM
J101,Denise Harper Angel,480,Jefferson,State Senate,35,DEM
J104,Denise Harper Angel,575,Jefferson,State Senate,35,DEM
J130,Denise Harper Angel,148,Jefferson,State Senate,35,DEM
J146,Denise Harper Angel,0,Jefferson,State Senate,35,DEM
K104,Denise Harper Angel,346,Jefferson,State Senate,35,DEM
K105,Denise Harper Angel,718,Jefferson,State Senate,35,DEM
K110,Denise Harper Angel,334,Jefferson,State Senate,35,DEM
K111,Denise Harper Angel,216,Jefferson,State Senate,35,DEM
K112,Denise Harper Angel,273,Jefferson,State Senate,35,DEM
K113,Denise Harper Angel,211,Jefferson,State Senate,35,DEM
K114,Denise Harper Angel,430,Jefferson,State Senate,35,DEM
K116,Denise Harper Angel,65,Jefferson,State Senate,35,DEM
K122 - SHI,Denise Harper Angel,610,Jefferson,State Senate,35,DEM
K125,Denise Harper Angel,168,Jefferson,State Senate,35,DEM
K133,Denise Harper Angel,427,Jefferson,State Senate,35,DEM
K135,Denise Harper Angel,18,Jefferson,State Senate,35,DEM
K136,Denise Harper Angel,90,Jefferson,State Senate,35,DEM
K140,Denise Harper Angel,196,Jefferson,State Senate,35,DEM
K141,Denise Harper Angel,125,Jefferson,State Senate,35,DEM
K142,Denise Harper Angel,0,Jefferson,State Senate,35,DEM
K143,Denise Harper Angel,0,Jefferson,State Senate,35,DEM
K149,Denise Harper Angel,0,Jefferson,State Senate,35,DEM
K150,Denise Harper Angel,0,Jefferson,State Senate,35,DEM
K151,Denise Harper Angel,0,Jefferson,State Senate,35,DEM
L111,Denise Harper Angel,272,Jefferson,State Senate,35,DEM
L112,Denise Harper Angel,320,Jefferson,State Senate,35,DEM
L113,Denise Harper Angel,594,Jefferson,State Senate,35,DEM
L115,Denise Harper Angel,79,Jefferson,State Senate,35,DEM
L143,Denise Harper Angel,214,Jefferson,State Senate,35,DEM
L148,Denise Harper Angel,194,Jefferson,State Senate,35,DEM
L156,Denise Harper Angel,540,Jefferson,State Senate,35,DEM
L163,Denise Harper Angel,246,Jefferson,State Senate,35,DEM
M121,Denise Harper Angel,501,Jefferson,State Senate,35,DEM
M123,Denise Harper Angel,750,Jefferson,State Senate,35,DEM
M124,Denise Harper Angel,597,Jefferson,State Senate,35,DEM
M129,Denise Harper Angel,272,Jefferson,State Senate,35,DEM
M130,Denise Harper Angel,262,Jefferson,State Senate,35,DEM
M131,Denise Harper Angel,290,Jefferson,State Senate,35,DEM
M139,Denise Harper Angel,465,Jefferson,State Senate,35,DEM
M140,Denise Harper Angel,205,Jefferson,State Senate,35,DEM
M146,Denise Harper Angel,469,Jefferson,State Senate,35,DEM
M162,Denise Harper Angel,212,Jefferson,State Senate,35,DEM
M163,Denise Harper Angel,180,Jefferson,State Senate,35,DEM
M166,Denise Harper Angel,464,Jefferson,State Senate,35,DEM
M168,Denise Harper Angel,116,Jefferson,State Senate,35,DEM
M170,Denise Harper Angel,665,Jefferson,State Senate,35,DEM
M172,Denise Harper Angel,130,Jefferson,State Senate,35,DEM
Q101,Denise Harper Angel,773,Jefferson,State Senate,35,DEM
Q103,Denise Harper Angel,699,Jefferson,State Senate,35,DEM
Q105,Denise Harper Angel,787,Jefferson,State Senate,35,DEM
Q107,Denise Harper Angel,676,Jefferson,State Senate,35,DEM
Q113,Denise Harper Angel,221,Jefferson,State Senate,35,DEM
Q116,Denise Harper Angel,522,Jefferson,State Senate,35,DEM
Q122,Denise Harper Angel,505,Jefferson,State Senate,35,DEM
Q123,Denise Harper Angel,820,Jefferson,State Senate,35,DEM
Q124,Denise Harper Angel,474,Jefferson,State Senate,35,DEM
Q127,Denise Harper Angel,318,Jefferson,State Senate,35,DEM
Q134,Denise Harper Angel,396,Jefferson,State Senate,35,DEM
Q136,Denise Harper Angel,173,Jefferson,State Senate,35,DEM
WALK-IN 3RD A-D,Denise Harper Angel,249,Jefferson,State Senate,35,DEM
WALK-IN 3RD F-G,Denise Harper Angel,84,Jefferson,State Senate,35,DEM
WALK-IN 3RD H-J,Denise Harper Angel,66,Jefferson,State Senate,35,DEM
WALK-IN 3RD K-M,Denise Harper Angel,379,Jefferson,State Senate,35,DEM
WALK-IN 3RD NOQV,Denise Harper Angel,131,Jefferson,State Senate,35,DEM
MAIL-IN 3RD A-D,Denise Harper Angel,126,Jefferson,State Senate,35,DEM
MAIL-IN 3RD F-G,Denise Harper Angel,43,Jefferson,State Senate,35,DEM
MAIL-IN 3RD H-J,Denise Harper Angel,37,Jefferson,State Senate,35,DEM
MAIL-IN 3RD K-M,Denise Harper Angel,205,Jefferson,State Senate,35,DEM
MAIL-IN 3RD NOQV,Denise Harper Angel,64,Jefferson,State Senate,35,DEM
C101,Write-In,8,Jefferson,State Senate,35,NA
C102,Write-In,8,Jefferson,State Senate,35,NA
C103,Write-In,4,Jefferson,State Senate,35,NA
C104,Write-In,3,Jefferson,State Senate,35,NA
C105,Write-In,2,Jefferson,State Senate,35,NA
C106,Write-In,11,Jefferson,State Senate,35,NA
C108,Write-In,8,Jefferson,State Senate,35,NA
C109,Write-In,1,Jefferson,State Senate,35,NA
C110,Write-In,5,Jefferson,State Senate,35,NA
C111,Write-In,0,Jefferson,State Senate,35,NA
C113,Write-In,6,Jefferson,State Senate,35,NA
C115,Write-In,11,Jefferson,State Senate,35,NA
C125,Write-In,6,Jefferson,State Senate,35,NA
C126,Write-In,7,Jefferson,State Senate,35,NA
C133,Write-In,8,Jefferson,State Senate,35,NA
C134,Write-In,12,Jefferson,State Senate,35,NA
C135,Write-In,7,Jefferson,State Senate,35,NA
C141,Write-In,4,Jefferson,State Senate,35,NA
C142,Write-In,7,Jefferson,State Senate,35,NA
C143,Write-In,4,Jefferson,State Senate,35,NA
C145,Write-In,2,Jefferson,State Senate,35,NA
C147,Write-In,0,Jefferson,State Senate,35,NA
C151,Write-In,0,Jefferson,State Senate,35,NA
D113,Write-In,4,Jefferson,State Senate,35,NA
D145,Write-In,3,Jefferson,State Senate,35,NA
G103,Write-In,4,Jefferson,State Senate,35,NA
G104,Write-In,5,Jefferson,State Senate,35,NA
G106,Write-In,9,Jefferson,State Senate,35,NA
G107,Write-In,12,Jefferson,State Senate,35,NA
H123,Write-In,7,Jefferson,State Senate,35,NA
H126 - LNV,Write-In,7,Jefferson,State Senate,35,NA
H127,Write-In,1,Jefferson,State Senate,35,NA
H130,Write-In,0,Jefferson,State Senate,35,NA
H131,Write-In,8,Jefferson,State Senate,35,NA
H132,Write-In,1,Jefferson,State Senate,35,NA
H138,Write-In,16,Jefferson,State Senate,35,NA
H144,Write-In,12,Jefferson,State Senate,35,NA
H154,Write-In,2,Jefferson,State Senate,35,NA
H161,Write-In,0,Jefferson,State Senate,35,NA
I150,Write-In,0,Jefferson,State Senate,35,NA
J101,Write-In,7,Jefferson,State Senate,35,NA
J104,Write-In,9,Jefferson,State Senate,35,NA
J130,Write-In,2,Jefferson,State Senate,35,NA
J146,Write-In,0,Jefferson,State Senate,35,NA
K104,Write-In,7,Jefferson,State Senate,35,NA
K105,Write-In,10,Jefferson,State Senate,35,NA
K110,Write-In,4,Jefferson,State Senate,35,NA
K111,Write-In,4,Jefferson,State Senate,35,NA
K112,Write-In,8,Jefferson,State Senate,35,NA
K113,Write-In,2,Jefferson,State Senate,35,NA
K114,Write-In,9,Jefferson,State Senate,35,NA
K116,Write-In,4,Jefferson,State Senate,35,NA
K122 - SHI,Write-In,5,Jefferson,State Senate,35,NA
K125,Write-In,1,Jefferson,State Senate,35,NA
K133,Write-In,9,Jefferson,State Senate,35,NA
K135,Write-In,1,Jefferson,State Senate,35,NA
K136,Write-In,0,Jefferson,State Senate,35,NA
K140,Write-In,3,Jefferson,State Senate,35,NA
K141,Write-In,6,Jefferson,State Senate,35,NA
K142,Write-In,0,Jefferson,State Senate,35,NA
K143,Write-In,0,Jefferson,State Senate,35,NA
K149,Write-In,0,Jefferson,State Senate,35,NA
K150,Write-In,0,Jefferson,State Senate,35,NA
K151,Write-In,0,Jefferson,State Senate,35,NA
L111,Write-In,4,Jefferson,State Senate,35,NA
L112,Write-In,2,Jefferson,State Senate,35,NA
L113,Write-In,2,Jefferson,State Senate,35,NA
L115,Write-In,1,Jefferson,State Senate,35,NA
L143,Write-In,5,Jefferson,State Senate,35,NA
L148,Write-In,3,Jefferson,State Senate,35,NA
L156,Write-In,6,Jefferson,State Senate,35,NA
L163,Write-In,1,Jefferson,State Senate,35,NA
M121,Write-In,7,Jefferson,State Senate,35,NA
M123,Write-In,12,Jefferson,State Senate,35,NA
M124,Write-In,15,Jefferson,State Senate,35,NA
M129,Write-In,0,Jefferson,State Senate,35,NA
M130,Write-In,2,Jefferson,State Senate,35,NA
M131,Write-In,6,Jefferson,State Senate,35,NA
M139,Write-In,6,Jefferson,State Senate,35,NA
M140,Write-In,4,Jefferson,State Senate,35,NA
M146,Write-In,8,Jefferson,State Senate,35,NA
M162,Write-In,2,Jefferson,State Senate,35,NA
M163,Write-In,2,Jefferson,State Senate,35,NA
M166,Write-In,6,Jefferson,State Senate,35,NA
M168,Write-In,2,Jefferson,State Senate,35,NA
M170,Write-In,5,Jefferson,State Senate,35,NA
M172,Write-In,1,Jefferson,State Senate,35,NA
Q101,Write-In,10,Jefferson,State Senate,35,NA
Q103,Write-In,15,Jefferson,State Senate,35,NA
Q105,Write-In,20,Jefferson,State Senate,35,NA
Q107,Write-In,7,Jefferson,State Senate,35,NA
Q113,Write-In,7,Jefferson,State Senate,35,NA
Q116,Write-In,11,Jefferson,State Senate,35,NA
Q122,Write-In,9,Jefferson,State Senate,35,NA
Q123,Write-In,6,Jefferson,State Senate,35,NA
Q124,Write-In,10,Jefferson,State Senate,35,NA
Q127,Write-In,7,Jefferson,State Senate,35,NA
Q134,Write-In,4,Jefferson,State Senate,35,NA
Q136,Write-In,8,Jefferson,State Senate,35,NA
WALK-IN 3RD A-D,Write-In,2,Jefferson,State Senate,35,NA
WALK-IN 3RD F-G,Write-In,5,Jefferson,State Senate,35,NA
WALK-IN 3RD H-J,Write-In,2,Jefferson,State Senate,35,NA
WALK-IN 3RD K-M,Write-In,6,Jefferson,State Senate,35,NA
WALK-IN 3RD NOQV,Write-In,2,Jefferson,State Senate,35,NA
MAIL-IN 3RD A-D,Write-In,4,Jefferson,State Senate,35,NA
MAIL-IN 3RD F-G,Write-In,0,Jefferson,State Senate,35,NA
MAIL-IN 3RD H-J,Write-In,2,Jefferson,State Senate,35,NA
MAIL-IN 3RD K-M,Write-In,2,Jefferson,State Senate,35,NA
MAIL-IN 3RD NOQV,Write-In,1,Jefferson,State Senate,35,NA
A105,Perry Clark,832,Jefferson,State Senate,37,DEM
A107,Perry Clark,373,Jefferson,State Senate,37,DEM
A108,Perry Clark,600,Jefferson,State Senate,37,DEM
A111,Perry Clark,480,Jefferson,State Senate,37,DEM
A113,Perry Clark,515,Jefferson,State Senate,37,DEM
A114,Perry Clark,413,Jefferson,State Senate,37,DEM
A115,Perry Clark,432,Jefferson,State Senate,37,DEM
A118,Perry Clark,253,Jefferson,State Senate,37,DEM
A119,Perry Clark,397,Jefferson,State Senate,37,DEM
