county,precinct,office,district,party,candidate,absentee_mail,absentee_person,eslate,escan,votes
Mercer,Stringtown,State House,55,REP,Kim King,,,0,580,580
Mercer,Total,State House,55,REP,Kim King,,,130,3808,4402
Mercer,Absentee,State House,55,DEM,Tobie C. Brown,44,97,,,141
Mercer,Perryville Toll Gate,State House,55,DEM,Tobie C. Brown,,,1,230,231
Mercer,Dixville,State House,55,DEM,Tobie C. Brown,,,0,39,39
Mercer,Rose Hill,State House,55,DEM,Tobie C. Brown,,,0,118,118
Mercer,Cornishville,State House,55,DEM,Tobie C. Brown,,,0,35,35
Mercer,Terrapin,State House,55,DEM,Tobie C. Brown,,,0,51,51
Mercer,Salvisa,State House,55,DEM,Tobie C. Brown,,,0,200,200
Mercer,Bohon,State House,55,DEM,Tobie C. Brown,,,43,102,145
Mercer,Duncan,State House,55,DEM,Tobie C. Brown,,,0,35,35
Mercer,McAfee,State House,55,DEM,Tobie C. Brown,,,6,182,188
Mercer,Stringtown,State House,55,DEM,Tobie C. Brown,,,0,128,128
Mercer,Total,State House,55,DEM,Tobie C. Brown,,,50,1120,1311
