candidate,office,district,party,county,precinct,eslate,escan,votes,absentee_mail,absentee_walk_in
,Straight Party,,DEM,Hardin,St John,10,54,64,,
S Brett Guthrie,U.S. House,2,,Hardin,St John,57,318,375,,
Hank Linderman,U.S. House,2,,Hardin,St John,22,102,124,,
Thomas A Loecken,U.S. House,2,,Hardin,St John,1,7,8,,
Dennis L. Parrett,State Senate,10,,Hardin,St John,55,294,349,,
Josh Calloway,State Representative,10,,Hardin,St John,,,,,
Dean Schamore,State Representative,10,,Hardin,St John,,,,,
,Straight Party,,REP,Hardin,Howevalley,35,171,206,,
,Straight Party,,DEM,Hardin,Howevalley,14,67,81,,
S Brett Guthrie,U.S. House,2,,Hardin,Howevalley,66,424,490,,
Hank Linderman,U.S. House,2,,Hardin,Howevalley,21,125,146,,
Thomas A Loecken,U.S. House,2,,Hardin,Howevalley,4,10,14,,
Dennis L. Parrett,State Senate,10,,Hardin,Howevalley,51,349,400,,
Josh Calloway,State Representative,10,,Hardin,Howevalley,,,,,
Dean Schamore,State Representative,10,,Hardin,Howevalley,,,,,
,Straight Party,,REP,Hardin,Rineyville South,23,132,155,,
,Straight Party,,DEM,Hardin,Rineyville South,11,80,91,,
S Brett Guthrie,U.S. House,2,,Hardin,Rineyville South,42,319,361,,
Hank Linderman,U.S. House,2,,Hardin,Rineyville South,20,140,160,,
Thomas A Loecken,U.S. House,2,,Hardin,Rineyville South,5,17,22,,
Dennis L. Parrett,State Senate,10,,Hardin,Rineyville South,45,291,336,,
Josh Calloway,State Representative,10,,Hardin,Rineyville South,,,,,
Dean Schamore,State Representative,10,,Hardin,Rineyville South,,,,,
,Straight Party,,REP,Hardin,Rineyville North ,1,209,210,,
,Straight Party,,DEM,Hardin,Rineyville North ,0,108,108,,
S Brett Guthrie,U.S. House,2,,Hardin,Rineyville North ,3,469,472,,
Hank Linderman,U.S. House,2,,Hardin,Rineyville North ,1,204,205,,
Thomas A Loecken,U.S. House,2,,Hardin,Rineyville North ,0,18,18,,
Dennis L. Parrett,State Senate,10,,Hardin,Rineyville North ,2,433,435,,
Josh Calloway,State Representative,10,,Hardin,Rineyville North ,,,,,
Dean Schamore,State Representative,10,,Hardin,Rineyville North ,,,,,
,Straight Party,,REP,Hardin,Grandview,6,18,24,,
,Straight Party,,DEM,Hardin,Grandview,0,11,11,,
S Brett Guthrie,U.S. House,2,,Hardin,Grandview,8,30,38,,
Hank Linderman,U.S. House,2,,Hardin,Grandview,0,14,14,,
Thomas A Loecken,U.S. House,2,,Hardin,Grandview,0,0,0,,
Dennis L. Parrett,State Senate,10,,Hardin,Grandview,4,23,27,,
Josh Calloway,State Representative,10,,Hardin,Grandview,7,25,32,,
Dean Schamore,State Representative,10,,Hardin,Grandview,1,19,20,,
,Straight Party,,REP,Hardin,Rineyville West,21,202,223,,
,Straight Party,,DEM,Hardin,Rineyville West,7,78,85,,
S Brett Guthrie,U.S. House,2,,Hardin,Rineyville West,40,456,496,,
Hank Linderman,U.S. House,2,,Hardin,Rineyville West,14,149,163,,
Thomas A Loecken,U.S. House,2,,Hardin,Rineyville West,3,13,16,,
Dennis L. Parrett,State Senate,10,,Hardin,Rineyville West,36,378,414,,
Josh Calloway,State Representative,10,,Hardin,Rineyville West,,,,,
Dean Schamore,State Representative,10,,Hardin,Rineyville West,,,,,
,Straight Party,,REP,Hardin,Vine Grove East,10,220,230,,
,Straight Party,,DEM,Hardin,Vine Grove East,31,263,294,,
S Brett Guthrie,U.S. House,2,,Hardin,Vine Grove East,31,449,480,,
Hank Linderman,U.S. House,2,,Hardin,Vine Grove East,42,410,452,,
Thomas A Loecken,U.S. House,2,,Hardin,Vine Grove East,2,31,33,,
Dennis L. Parrett,State Senate,10,,Hardin,Vine Grove East,62,600,662,,
Josh Calloway,State Representative,10,,Hardin,Vine Grove East,27,446,473,,
Dean Schamore,State Representative,10,,Hardin,Vine Grove East,50,448,498,,
,Straight Party,,REP,Hardin,Vine Grove West ,31,134,165,,
,Straight Party,,DEM,Hardin,Vine Grove West ,27,145,172,,
S Brett Guthrie,U.S. House,2,,Hardin,Vine Grove West ,63,369,432,,
Hank Linderman,U.S. House,2,,Hardin,Vine Grove West ,46,265,311,,
Thomas A Loecken,U.S. House,2,,Hardin,Vine Grove West ,4,17,21,,
Dennis L. Parrett,State Senate,10,,Hardin,Vine Grove West ,77,452,529,,
Josh Calloway,State Representative,10,,Hardin,Vine Grove West ,61,321,382,,
Dean Schamore,State Representative,10,,Hardin,Vine Grove West ,53,339,392,,
,Straight Party,,REP,Hardin,Vine Grove South,34,195,229,,
,Straight Party,,DEM,Hardin,Vine Grove South,19,86,105,,
S Brett Guthrie,U.S. House,2,,Hardin,Vine Grove South,73,426,499,,
Hank Linderman,U.S. House,2,,Hardin,Vine Grove South,33,142,175,,
Thomas A Loecken,U.S. House,2,,Hardin,Vine Grove South,2,5,7,,
Dennis L. Parrett,State Senate,10,,Hardin,Vine Grove South,69,289,358,,
Josh Calloway,State Representative,10,,Hardin,Vine Grove South,71,394,465,,
Dean Schamore,State Representative,10,,Hardin,Vine Grove South,39,177,216,,
,Straight Party,,REP,Hardin,Yates,39,151,190,,
,Straight Party,,DEM,Hardin,Yates,17,56,73,,
S Brett Guthrie,U.S. House,2,,Hardin,Yates,82,294,376,,
Hank Linderman,U.S. House,2,,Hardin,Yates,26,103,129,,
Thomas A Loecken,U.S. House,2,,Hardin,Yates,1,7,8,,
Dennis L. Parrett,State Senate,10,,Hardin,Yates,72,228,300,,
Josh Calloway,State Representative,10,,Hardin,Yates,73,276,349,,
Dean Schamore,State Representative,10,,Hardin,Yates,37,130,167,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
